Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,RAJASTHAN,Ganganagar,1,BHARAT RAM MEGHWAL,INC,0,Graduate Professional,53,"Rs 50,16,000 ~ 50 Lacs+","Rs 4,00,000 ~ 4 Lacs+",Yes
2009,RAJASTHAN,Ganganagar,2,BHURA RAM,IND,0,Literate,69,"Rs 7,62,500 ~ 7 Lacs+","Rs 30,000 ~ 30 Thou+",No
2009,RAJASTHAN,Ganganagar,3,HANUMAN RAM,IND,0,12th Pass,36,Not Available,Not Available,No
2009,RAJASTHAN,Ganganagar,4,HET RAM,Rajasthan Vikas Party,0,10th Pass,57,"Rs 3,57,400 ~ 3 Lacs+","Rs 10,000 ~ 10 Thou+",No
2009,RAJASTHAN,Ganganagar,5,JASWINDER SINGH DHALIWAL,IND,1,12th Pass,39,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No
2009,RAJASTHAN,Ganganagar,6,MUKESH KUMAR,SP,0,Graduate Professional,51,Not Available,Not Available,No
2009,RAJASTHAN,Ganganagar,7,NIHAL CHAND,BJP,0,Graduate,37,"Rs 33,40,188 ~ 33 Lacs+",Rs 0 ~,No
2009,RAJASTHAN,Ganganagar,8,OM PRAKASH,IND,0,Literate,40,"Rs 60,000 ~ 60 Thou+",Rs 0 ~,No
2009,RAJASTHAN,Ganganagar,9,RAJI RAM,IND,0,10th Pass,46,Not Available,Not Available,No
2009,RAJASTHAN,Ganganagar,10,SHEOPAT RAM,CPM,9,Graduate,32,"Rs 3,10,000 ~ 3 Lacs+","Rs 50,000 ~ 50 Thou+",No
2009,RAJASTHAN,Ganganagar,11,SHILA DEVI,IND,0,Literate,45,"Rs 1,65,000 ~ 1 Lacs+",Rs 0 ~,No
2009,RAJASTHAN,Ganganagar,12,SINDU,IND,0,Illiterate,49,Not Available,Not Available,No
2009,RAJASTHAN,Ganganagar,13,SITA RAM,BSP,0,Post Graduate,33,"Rs 8,92,918 ~ 8 Lacs+",Rs 0 ~,No
2009,RAJASTHAN,Ganganagar,14,SITA RAM MORYA,IND,0,10th Pass,64,"Rs 12,00,000 ~ 12 Lacs+",Rs 0 ~,No
2009,RAJASTHAN,Ganganagar,15,TITAR SINGH,IND,0,Literate,67,Not Available,Not Available,No
