Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,RAJASTHAN,Kota,6,IJYARAJ SINGH,INC,0,Post Graduate,44,Not Available,Not Available,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=6161
2009,RAJASTHAN,Kota,1,BABU LAL MEGHWAL,BHBP,0,Graduate Professional,43,"Rs 39,66,000 ~ 39 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6384
2009,RAJASTHAN,Kota,2,BADAM BERWA,IND,0,Not Given,39,"Rs 40,000 ~ 40 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6385
2009,RAJASTHAN,Kota,3,DR K SHRINGI,IND,0,Post Graduate,53,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6386
2009,RAJASTHAN,Kota,4,FARHEEN TABSSUM,SP,0,10th Pass,33,"Rs 40,000 ~ 40 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6160
2009,RAJASTHAN,Kota,5,GOVIND SINGH,BSP,0,10th Pass,56,"Rs 58,47,000 ~ 58 Lacs+","Rs 10,00,000 ~ 10 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6131
2009,RAJASTHAN,Kota,7,JAMUNA PRASAD,IND,0,10th Pass,72,"Rs 18,36,000 ~ 18 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6132
2009,RAJASTHAN,Kota,8,PRIYANK,JGP,2,Graduate,29,"Rs 2,70,956 ~ 2 Lacs+","Rs 2,10,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5881
2009,RAJASTHAN,Kota,9,RAM KIRISHAN SHARMA,IND,0,Not Given,70,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5882
2009,RAJASTHAN,Kota,10,RAMESHWAR MAMORE MEENA,IND,4,Graduate,46,"Rs 15,00,000 ~ 15 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6388
2009,RAJASTHAN,Kota,11,RAMHET,IJP,0,Graduate,42,"Rs 96,875 ~ 96 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6389
2009,RAJASTHAN,Kota,12,SAMUDRA SINGH,Akahand Bharat Maha Sangh Sarvahara Krantikar,1,8th Pass,72,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6390
2009,RAJASTHAN,Kota,13,SHYAM,BJP,0,Graduate Professional,54,"Rs 99,74,260 ~ 99 Lacs+","Rs 3,26,970 ~ 3 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=5883
2009,RAJASTHAN,Kota,14,SHYAM SUNDAR SHARMA,IND,0,12th Pass,52,"Rs 65,514 ~ 65 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=6130
