Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,TAMIL NADU,Chennai_Central,4,DAYANIDHI MARAN,DMK,0,Graduate,42,"Rs 3,66,69,231 ~ 3 Crore+",Rs 0 ~,Yes
2009,TAMIL NADU,Chennai_Central,1,ANEES HUSSAIN.H,IND,0,Graduate,36,"Rs 14,50,000 ~ 14 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,2,ARASAKUMAR.M.S,IND,0,Graduate Professional,36,"Rs 48,000 ~ 48 Thou+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,3,ARIVUDAINAMBI.N,IND,0,12th Pass,43,Not Available,Not Available,No
2009,TAMIL NADU,Chennai_Central,5,DHAMODHARAN.T,IND,0,12th Pass,31,"Rs 10,199 ~ 10 Thou+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,6,GANGADURAI.G,JJ,0,Not Given,40,Not Available,Not Available,No
2009,TAMIL NADU,Chennai_Central,7,GIRIJA SHANKER.R,IND,0,Graduate Professional,61,"Rs 1,54,00,000 ~ 1 Crore+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,8,GUNASEKARAN.M,IND,0,Graduate Professional,46,"Rs 3,33,000 ~ 3 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,9,HYDER ALI.S,MAMAK,2,10th Pass,51,Not Available,Not Available,No
2009,TAMIL NADU,Chennai_Central,10,KRISHNAN.P.R,IND,0,Graduate Professional,73,"Rs 4,97,87,000 ~ 4 Crore+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,11,LOGANATHAN.V,IND,0,Graduate Professional,39,"Rs 30,000 ~ 30 Thou+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,12,MANI.G,IND,0,10th Pass,52,Not Available,Not Available,No
2009,TAMIL NADU,Chennai_Central,13,MARIMUTHU.E,IND,0,10th Pass,54,"Rs 1,86,000 ~ 1 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,14,MOHAMED ALI,IND,0,8th Pass,61,"Rs 15,000 ~ 15 Thou+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,15,MOHAMED ALI ZINNA.A,IND,0,10th Pass,49,Not Available,Not Available,No
2009,TAMIL NADU,Chennai_Central,16,MOHAN.K,IND,0,10th Pass,32,"Rs 1,41,000 ~ 1 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,17,NAHAMANI.J,JMM,0,Post Graduate,54,"Rs 10,30,000 ~ 10 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,18,PARIMALAM.V,IND,0,Graduate Professional,38,Not Available,Not Available,No
2009,TAMIL NADU,Chennai_Central,19,PRABU.V,IND,0,Post Graduate,33,"Rs 18,000 ~ 18 Thou+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,20,RAAJ RAMCHAND,SHS,0,Graduate,41,"Rs 50,77,000 ~ 50 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,21,RAJAKUMAR.S,IND,0,Graduate Professional,37,Not Available,Not Available,No
2009,TAMIL NADU,Chennai_Central,22,RAMANA REDDY.K.V,KDC,0,Graduate,56,Nil,Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,23,RANGGANATHAN.V,IND,0,5th Pass,54,"Rs 18,000 ~ 18 Thou+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,24,RAVIKUMAR.T,IND,0,Graduate Professional,39,Not Available,Not Available,No
2009,TAMIL NADU,Chennai_Central,25,SENTHIL.P,IND,0,Graduate Professional,29,"Rs 1,12,000 ~ 1 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,26,SIVAKUMAR.S,IND,0,Post Graduate,58,"Rs 38,35,119 ~ 38 Lacs+","Rs 2,17,974 ~ 2 Lacs+",No
2009,TAMIL NADU,Chennai_Central,27,SRIDHAR.S,IND,0,5th Pass,34,Not Available,Not Available,No
2009,TAMIL NADU,Chennai_Central,28,TEACKRAJ.D,IND,0,Graduate Professional,32,"Rs 2,20,000 ~ 2 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,29,THOMAS.T.JACOB,YSP,0,Graduate Professional,37,"Rs 10,65,000 ~ 10 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,30,UDAYAKUMAR,IND,0,10th Pass,50,Not Available,Not Available,No
2009,TAMIL NADU,Chennai_Central,31,VASU.S,SP,0,Graduate,59,"Rs 7,25,000 ~ 7 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,32,VIJAYAKUMAR,PPOI,0,Graduate Professional,51,"Rs 48,26,336 ~ 48 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Chennai_Central,33,VISWANATHAN.E,MMKA,1,Post Graduate,48,Not Available,Not Available,No
2009,TAMIL NADU,Chennai_Central,34,WILSON PAUL.S,IND,0,Graduate Professional,39,"Rs 33,40,000 ~ 33 Lacs+","Rs 5,48,000 ~ 5 Lacs+",No
2009,TAMIL NADU,Chennai_Central,35,YUNIS KHAN.AY,BSP,1,Not Given,34,"Rs 70,000 ~ 70 Thou+",Rs 0 ~,No
