Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,TAMIL NADU,Dindigul,2,CHITTHAN N S V,INC,0,Graduate,75,"Rs 1,70,35,764 ~ 1 Crore+",Rs 0 ~,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=8488
2009,TAMIL NADU,Dindigul,1,BAALASUBRAMANI P,ADMK,0,12th Pass,53,"Rs 2,50,28,810 ~ 2 Crore+","Rs 12,07,770 ~ 12 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8490
2009,TAMIL NADU,Dindigul,3,DAISY RANI S,RKSP,1,10th Pass,46,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8493
2009,TAMIL NADU,Dindigul,4,DHANASEELI K,IND,0,12th Pass,33,"Rs 3,83,889 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8500
2009,TAMIL NADU,Dindigul,5,DURAI K,IND,0,10th Pass,27,"Rs 14,500 ~ 14 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8501
2009,TAMIL NADU,Dindigul,6,KARUPPUSAMY P,IND,0,8th Pass,45,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8496
2009,TAMIL NADU,Dindigul,7,LOGANATHAN V,SP,0,Graduate,29,"Rs 31,000 ~ 31 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8495
2009,TAMIL NADU,Dindigul,8,MAHAMUNI S,IND,0,10th Pass,26,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8502
2009,TAMIL NADU,Dindigul,9,MANIKANDA PRABU G,IND,0,10th Pass,28,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8503
2009,TAMIL NADU,Dindigul,10,MOTILAL K.A,IND,0,8th Pass,53,"Rs 94,000 ~ 94 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8504
2009,TAMIL NADU,Dindigul,11,MUTHUVELRAJ P,DMDK,0,Post Graduate,59,"Rs 31,61,78,200 ~ 31 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8494
2009,TAMIL NADU,Dindigul,12,RAMARAJ P,IND,0,12th Pass,28,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8505
2009,TAMIL NADU,Dindigul,13,SADHASIVAM N,IND,0,Post Graduate,59,"Rs 9,75,895 ~ 9 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8497
2009,TAMIL NADU,Dindigul,14,SELLAMUTHU K M,KNMK,0,8th Pass,38,"Rs 1,03,69,265 ~ 1 Crore+","Rs 1,50,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8491
2009,TAMIL NADU,Dindigul,15,SELVARAJ I,Akhila India Jananayaka Makkal Katchi (Dr. Is,0,Others,40,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8492
2009,TAMIL NADU,Dindigul,16,SHEIK AYUB KHAN S,IND,0,Not Given,42,"Rs 1,55,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8506
2009,TAMIL NADU,Dindigul,17,SRINIVASA BABU M,BSP,0,Graduate,31,"Rs 91,600 ~ 91 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8489
2009,TAMIL NADU,Dindigul,18,SUBRAMANIAN R,IND,0,10th Pass,58,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8498
2009,TAMIL NADU,Dindigul,19,THANGAPANDIAN R,IND,2,Not Given,38,"Rs 3,10,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8499
