Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,TAMIL NADU,Kanniyakumari,6,HELEN DAVIDSON J,DMK,0,Post Graduate,37,Not Available,Not Available,Yes
2009,TAMIL NADU,Kanniyakumari,1,ARUL THUMILAN .D,LJP,0,Graduate Professional,31,"Rs 3,75,000 ~ 3 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Kanniyakumari,2,AUSTIN . S,DMDK,0,Post Graduate,50,"Rs 51,14,171 ~ 51 Lacs+","Rs 1,85,800 ~ 1 Lacs+",No
2009,TAMIL NADU,Kanniyakumari,3,BALASUBRAMANIAN T,ABHM,2,Graduate,42,Not Available,Not Available,No
2009,TAMIL NADU,Kanniyakumari,4,BELLARMIN AV,CPM,0,Post Graduate,55,"Rs 42,09,424 ~ 42 Lacs+","Rs 3,01,107 ~ 3 Lacs+",No
2009,TAMIL NADU,Kanniyakumari,5,EMMI,IND,0,Post Graduate,28,"Rs 96,028 ~ 96 Thou+",Rs 0 ~,No
2009,TAMIL NADU,Kanniyakumari,7,JAYASINGH K,IND,0,Not Given,38,"Rs 4,10,000 ~ 4 Lacs+","Rs 1,50,000 ~ 1 Lacs+",No
2009,TAMIL NADU,Kanniyakumari,8,JOHNSON S,IND,0,Not Given,45,"Rs 2,73,250 ~ 2 Lacs+","Rs 4,500 ~ 4 Thou+",No
2009,TAMIL NADU,Kanniyakumari,9,KUMAR C,IND,0,5th Pass,40,Not Available,Not Available,No
2009,TAMIL NADU,Kanniyakumari,10,LEKSHMANAN . S,IND,0,Not Given,42,"Rs 1,63,000 ~ 1 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Kanniyakumari,11,MANOHARAN,IND,0,Literate,31,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,No
2009,TAMIL NADU,Kanniyakumari,12,NALLATHAMBY C,IND,0,10th Pass,61,Not Available,Not Available,No
2009,TAMIL NADU,Kanniyakumari,13,PAULRAJ,IND,1,Graduate Professional,44,Nil,"Rs 2,182 ~ 2 Thou+",No
2009,TAMIL NADU,Kanniyakumari,14,RADHAKRISHNAN .C.P,IND,0,Graduate,58,"Rs 2,79,500 ~ 2 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Kanniyakumari,15,RADHAKRISHNAN C,IND,1,10th Pass,39,Not Available,Not Available,No
2009,TAMIL NADU,Kanniyakumari,16,RADHAKRISHNAN P,BJP,0,Graduate Professional,55,"Rs 2,67,45,496 ~ 2 Crore+",Rs 0 ~,No
2009,TAMIL NADU,Kanniyakumari,17,SATHEES C,IND,0,10th Pass,25,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,No
2009,TAMIL NADU,Kanniyakumari,18,SIVAKAMI,BSP,0,Post Graduate,53,Not Available,Not Available,No
2009,TAMIL NADU,Kanniyakumari,19,SIVAKUMAR S,IND,0,Not Given,38,"Rs 4,00,000 ~ 4 Lacs+",Rs 0 ~,No
2009,TAMIL NADU,Kanniyakumari,20,THANKAMONY C,IND,0,Not Given,49,"Rs 29,00,000 ~ 29 Lacs+","Rs 5,50,000 ~ 5 Lacs+",No
2009,TAMIL NADU,Kanniyakumari,21,VENU K,IND,0,Illiterate,41,Not Available,Not Available,No
2009,TAMIL NADU,Kanniyakumari,22,WILSON,IND,0,12th Pass,45,Nil,Rs 0 ~,No
