Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,TAMIL NADU,Sriperumbudur,3,BAALU T R,DMK,0,Graduate,67,Not Available,Not Available,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=8847
2009,TAMIL NADU,Sriperumbudur,1,ARUN SUBRAMANIAN M,DMDK,0,Graduate Professional,57,"Rs 1,82,75,550 ~ 1 Crore+","Rs 5,58,768 ~ 5 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8850
2009,TAMIL NADU,Sriperumbudur,2,AYODHI L,IND,0,Post Graduate,45,"Rs 15,23,661 ~ 15 Lacs+","Rs 4,36,646 ~ 4 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8858
2009,TAMIL NADU,Sriperumbudur,4,BALU D,IND,0,Literate,62,"Rs 1,20,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8872
2009,TAMIL NADU,Sriperumbudur,5,BHARATHI K,CPI(ML)(L),0,Post Graduate,28,"Rs 3,880 ~ 3 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8853
2009,TAMIL NADU,Sriperumbudur,6,CHANDRU K,IND,0,Post Graduate,31,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8866
2009,TAMIL NADU,Sriperumbudur,7,DHARMASATHYAMURTHY V,IND,0,Not Given,30,"Rs 6,500 ~ 6 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8868
2009,TAMIL NADU,Sriperumbudur,8,DURAIRAJ L,IND,0,10th Pass,50,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8869
2009,TAMIL NADU,Sriperumbudur,9,EZHILARASU M,IND,0,Graduate,25,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8859
2009,TAMIL NADU,Sriperumbudur,10,JAMES SELVAM C,Akhila India Jananayaka Makkal Katchi (Dr. Is,0,8th Pass,37,"Rs 9,00,000 ~ 9 Lacs+",Rs 24 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8857
2009,TAMIL NADU,Sriperumbudur,11,KALAISELVAN T,IND,0,10th Pass,28,"Rs 3,56,800 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8860
2009,TAMIL NADU,Sriperumbudur,12,KARIKALAN C,IND,0,Post Graduate,33,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8861
2009,TAMIL NADU,Sriperumbudur,13,KARTHIKEYAN T,IND,0,Post Graduate,35,"Rs 4,91,000 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8863
