Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,UTTAR PRADESH,Aligarh,17,RAJ KUMARI CHAUHAN,BSP,0,12th Pass,46,"Rs 3,40,34,506 ~ 3 Crore+",Rs 0 ~,Yes
2009,UTTAR PRADESH,Aligarh,1,AKHTAR,MUL,0,12th Pass,46,"Rs 15,22,000 ~ 15 Lacs+","Rs 2,07,700 ~ 2 Lacs+",No
2009,UTTAR PRADESH,Aligarh,2,ALPANA GAUTAM,BSK,2,Post Graduate,45,"Rs 68,08,000 ~ 68 Lacs+",Rs 0 ~,No
2009,UTTAR PRADESH,Aligarh,3,BABA BUDHASEN,IND,0,5th Pass,69,Not Available,Not Available,No
2009,UTTAR PRADESH,Aligarh,4,BABULAL VERMA,Ambedkar Samaj Party,0,8th Pass,71,"Rs 17,08,696 ~ 17 Lacs+",Rs 0 ~,No
2009,UTTAR PRADESH,Aligarh,5,BHAGVAN SAHAY,IND,0,12th Pass,63,"Rs 43,35,500 ~ 43 Lacs+",Rs 0 ~,No
2009,UTTAR PRADESH,Aligarh,6,BIJENDRA SINGH,INC,0,Graduate,52,Not Available,Not Available,No
2009,UTTAR PRADESH,Aligarh,7,DEVI PRASHAD,MADP,0,10th Pass,72,"Rs 5,12,500 ~ 5 Lacs+",Rs 0 ~,No
2009,UTTAR PRADESH,Aligarh,8,HARENDRA SINGH BURMAN,LPSP,0,Post Graduate,35,"Rs 15,11,000 ~ 15 Lacs+",Rs 0 ~,No
2009,UTTAR PRADESH,Aligarh,9,KAILASH,IND,1,8th Pass,30,Not Available,Not Available,No
2009,UTTAR PRADESH,Aligarh,10,MAHESH PRATAP SHARMA,RVP,0,Graduate,54,"Rs 71,55,500 ~ 71 Lacs+",Rs 0 ~,No
2009,UTTAR PRADESH,Aligarh,11,MAVEER DHARAMVEER SINGH,IJP,0,10th Pass,42,"Rs 32,15,000 ~ 32 Lacs+",Rs 0 ~,No
2009,UTTAR PRADESH,Aligarh,12,MOHAMMAD YUSUF KHAN,MC,0,Graduate,26,Not Available,Not Available,No
2009,UTTAR PRADESH,Aligarh,13,MUKESH,NLHP,0,10th Pass,29,"Rs 91,22,000 ~ 91 Lacs+",Rs 0 ~,No
2009,UTTAR PRADESH,Aligarh,14,NATTHILAL,IND,0,Post Graduate,54,"Rs 43,38,000 ~ 43 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No
2009,UTTAR PRADESH,Aligarh,15,PRABHAT KUMAR,IND,0,10th Pass,38,Not Available,Not Available,No
2009,UTTAR PRADESH,Aligarh,16,PREM PAL SINGH,IND,1,Graduate,27,"Rs 2,20,000 ~ 2 Lacs+",Rs 0 ~,No
2009,UTTAR PRADESH,Aligarh,18,SANJAY,Lok Dal,0,12th Pass,33,Not Available,Not Available,No
2009,UTTAR PRADESH,Aligarh,19,SHEELA GAUTAM,BJP,0,Graduate Professional,77,"Rs 2,93,73,237 ~ 2 Crore+",Rs 0 ~,No
2009,UTTAR PRADESH,Aligarh,20,SHER MOHAMMAD,IND,0,Illiterate,47,"Rs 6,47,197 ~ 6 Lacs+","Rs 1,80,000 ~ 1 Lacs+",No
2009,UTTAR PRADESH,Aligarh,21,SHISHUPAL SINGH,PTSS,0,Graduate Professional,50,Not Available,Not Available,No
2009,UTTAR PRADESH,Aligarh,22,TEJVIR SINGH,IND,0,5th Pass,62,"Rs 30,50,750 ~ 30 Lacs+",Rs 0 ~,No
2009,UTTAR PRADESH,Aligarh,23,ZAFAR ALAM,SP,0,Graduate Professional,66,"Rs 15,58,22,000 ~ 15 Crore+","Rs 2,82,000 ~ 2 Lacs+",No
