Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,UTTAR PRADESH,Domariyaganj,4,JAGDAMBIKA PAL,INC,1,Post Graduate,59,"Rs 4,97,20,730 ~ 4 Crore+","Rs 45,66,564 ~ 45 Lacs+",Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=4076
2009,UTTAR PRADESH,Domariyaganj,1,BALKRISHNA,BSP(K),0,12th Pass,39,"Rs 62,605 ~ 62 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4083
2009,UTTAR PRADESH,Domariyaganj,2,HARISHANKAR,LJP,0,Graduate,45,"Rs 32,85,000 ~ 32 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4088
2009,UTTAR PRADESH,Domariyaganj,3,INAMULLAH CHAUDHARY,PECP,0,Not Given,66,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4080
2009,UTTAR PRADESH,Domariyaganj,5,JITENDRA PRATAP SINGH,RDMP,0,Graduate Professional,46,"Rs 3,80,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4081
2009,UTTAR PRADESH,Domariyaganj,6,MATA PRASAD PANDEY,SP,0,Post Graduate,72,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4078
2009,UTTAR PRADESH,Domariyaganj,7,MOHD. MUQUEEM,BSP,0,Literate,59,"Rs 1,71,50,000 ~ 1 Crore+","Rs 58,130 ~ 58 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4079
2009,UTTAR PRADESH,Domariyaganj,8,MOTILAL VIDHYARTHI,IND,0,Not Given,59,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4089
2009,UTTAR PRADESH,Domariyaganj,9,MUKHDEV,SBSP,0,Not Given,41,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4084
2009,UTTAR PRADESH,Domariyaganj,10,PINGAL PRASAD,RPI,0,12th Pass,41,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4082
2009,UTTAR PRADESH,Domariyaganj,11,RAHUL SANGH PRIYA BHARTI,IJP,0,Not Given,36,"Rs 9,00,000 ~ 9 Lacs+","Rs 10,00,000 ~ 10 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4087
2009,UTTAR PRADESH,Domariyaganj,12,RAJDEV,BEP,0,5th Pass,35,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4085
2009,UTTAR PRADESH,Domariyaganj,13,RAM KRIPAL,IND,0,Not Given,58,"Rs 17,30,500 ~ 17 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4090
2009,UTTAR PRADESH,Domariyaganj,14,RAM SAMUJH,BJBCD,0,Not Given,41,"Rs 1,70,000 ~ 1 Lacs+","Rs 3,70,000 ~ 3 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4086
2009,UTTAR PRADESH,Domariyaganj,15,SIRAJ AHAMAD,IND,0,Not Given,26,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4091
