Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,UTTAR PRADESH,Hamirpur,15,VIJAY BAHADUR SINGH,BSP,0,Graduate Professional,65,Not Available,Not Available,Yes
2009,UTTAR PRADESH,Hamirpur,1,AMIT KUMAR,AD,0,12th Pass,28,"Rs 3,500 ~ 3 Thou+",Rs 0 ~,No
2009,UTTAR PRADESH,Hamirpur,2,ANIL KUMAR,Ambedkar Samaj Party,0,10th Pass,30,"Rs 2,50,000 ~ 2 Lacs+",Rs 0 ~,No
2009,UTTAR PRADESH,Hamirpur,3,DESH RAJ,IND,0,12th Pass,45,Not Available,Not Available,No
2009,UTTAR PRADESH,Hamirpur,4,GIRDHARILAL,NELU,0,Not Given,70,"Rs 1,10,000 ~ 1 Lacs+",Rs 0 ~,No
2009,UTTAR PRADESH,Hamirpur,5,HAKEEM KHAN,BAP,0,8th Pass,56,"Rs 14,48,000 ~ 14 Lacs+","Rs 80,000 ~ 80 Thou+",No
2009,UTTAR PRADESH,Hamirpur,6,KANTI,Lok Dal,0,Illiterate,43,Not Available,Not Available,No
2009,UTTAR PRADESH,Hamirpur,7,KAPIL KUMAR,NLHP,0,Post Graduate,30,"Rs 4,50,000 ~ 4 Lacs+","Rs 79,000 ~ 79 Thou+",No
2009,UTTAR PRADESH,Hamirpur,8,LALLA,IND,0,Not Given,46,"Rs 2,05,000 ~ 2 Lacs+",Rs 0 ~,No
2009,UTTAR PRADESH,Hamirpur,9,LALLU PRASAD,IND,1,12th Pass,38,Not Available,Not Available,No
2009,UTTAR PRADESH,Hamirpur,10,NEERAJ KUMAR NIRALA,IND,0,12th Pass,28,"Rs 90,10,000 ~ 90 Lacs+",Rs 0 ~,No
2009,UTTAR PRADESH,Hamirpur,11,PARMESHWAR DAYAL,IND,0,10th Pass,60,"Rs 3,25,000 ~ 3 Lacs+","Rs 60,000 ~ 60 Thou+",No
2009,UTTAR PRADESH,Hamirpur,12,"PREETAM SINGH LODHI ""KISSAN""",BJP,0,Post Graduate,39,Not Available,Not Available,No
2009,UTTAR PRADESH,Hamirpur,13,SHIVPRASAD PRAJAPATI,IJP,0,Graduate,33,"Rs 3,27,000 ~ 3 Lacs+",Rs 0 ~,No
2009,UTTAR PRADESH,Hamirpur,14,SIDDHA GOPAL SAHU,INC,0,Post Graduate,43,"Rs 2,48,94,125 ~ 2 Crore+",Rs 0 ~,No
