Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,UTTAR PRADESH,Kaiserganj,2,BRIJBHUSHAN SARAN SINGH,SP,2,Graduate Professional,52,"Rs 5,35,37,885 ~ 5 Crore+",Rs 0 ~,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=4018
2009,UTTAR PRADESH,Kaiserganj,1,ANOKHI LAL,IND,0,Literate,49,"Rs 1,20,500 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4027
2009,UTTAR PRADESH,Kaiserganj,3,CHANDRA BHAN,IND,1,Literate,42,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4030
2009,UTTAR PRADESH,Kaiserganj,4,DAYA RAM,PDFO,1,Not Given,41,"Rs 6,53,534 ~ 6 Lacs+","Rs 1,40,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4022
2009,UTTAR PRADESH,Kaiserganj,5,DR LALTA PRASAD MISHRA ALIS DR L P MISHRA,BJP,0,Doctorate,59,"Rs 3,59,03,033 ~ 3 Crore+","Rs 32,75,766 ~ 32 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4019
2009,UTTAR PRADESH,Kaiserganj,6,HAFEEZ,AD,0,8th Pass,47,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4026
2009,UTTAR PRADESH,Kaiserganj,7,JAGDISH,IND,0,Literate,40,"Rs 17,26,000 ~ 17 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4031
2009,UTTAR PRADESH,Kaiserganj,8,JAGDISH PRASAD,IND,0,12th Pass,38,"Rs 45,25,532 ~ 45 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4032
2009,UTTAR PRADESH,Kaiserganj,9,JITENDRA BAHADUR,IND,0,Graduate Professional,57,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4033
2009,UTTAR PRADESH,Kaiserganj,10,MANOJ KUMAR,Lok Dal,0,Graduate,33,"Rs 7,21,000 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4023
2009,UTTAR PRADESH,Kaiserganj,11,MOHD ALEEM,INC,0,12th Pass,46,"Rs 89,57,811 ~ 89 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4017
2009,UTTAR PRADESH,Kaiserganj,12,OM PRAKASH,IND,0,12th Pass,35,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4028
2009,UTTAR PRADESH,Kaiserganj,13,RADHEYSHYAM BOAT,IND,0,8th Pass,62,"Rs 6,20,404 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4036
2009,UTTAR PRADESH,Kaiserganj,14,RAJ KISHORE SINGH,IND,0,12th Pass,38,"Rs 14,70,000 ~ 14 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4035
2009,UTTAR PRADESH,Kaiserganj,15,RAM PRAKSH,RPI(A),0,10th Pass,39,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4024
2009,UTTAR PRADESH,Kaiserganj,16,RAMENDER DEV PATHAK,PECP,0,Graduate Professional,60,"Rs 56,61,821 ~ 56 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4025
2009,UTTAR PRADESH,Kaiserganj,17,SURENDRA NATH AWASTHI,BSP,0,Post Graduate,53,"Rs 1,65,40,782 ~ 1 Crore+","Rs 20,61,909 ~ 20 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4020
2009,UTTAR PRADESH,Kaiserganj,18,UDAI RAJ,IND,0,Literate,52,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4029
2009,UTTAR PRADESH,Kaiserganj,19,VIMAL VERMA,IND,0,10th Pass,30,"Rs 6,65,000 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4039
2009,UTTAR PRADESH,Kaiserganj,20,VINESH KUMAR,IND,0,10th Pass,32,"Rs 3,15,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4038
2009,UTTAR PRADESH,Kaiserganj,21,ZAMEER AHAMAD,ANC,0,10th Pass,53,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=4021
