Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,UTTAR PRADESH,Kannauj,2,AKHILESH YADAV,SP,0,Graduate Professional,35,"Rs 4,85,82,202 ~ 4 Crore+","Rs 77,26,354 ~ 77 Lacs+",Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=7289
2009,UTTAR PRADESH,Kannauj,1,AJAB SINGH,Akhil Bharatiya Ashok Sena,0,12th Pass,30,"Rs 25,55,500 ~ 25 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7298
2009,UTTAR PRADESH,Kannauj,3,BALRAM,BSP(K),2,Not Given,29,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7290
2009,UTTAR PRADESH,Kannauj,4,LAL SINGH,IND,0,8th Pass,40,"Rs 7,42,300 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7307
2009,UTTAR PRADESH,Kannauj,5,NARAYAN KUMAR,RDMP,0,Graduate,39,"Rs 3,13,196 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7299
2009,UTTAR PRADESH,Kannauj,6,PRADEEP,IND,1,12th Pass,35,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7296
2009,UTTAR PRADESH,Kannauj,7,RAM BABU,IND,0,8th Pass,37,"Rs 80,500 ~ 80 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7292
2009,UTTAR PRADESH,Kannauj,8,RAM BABU TRIVEDI,BPD,0,Post Graduate,62,"Rs 15,59,370 ~ 15 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7305
2009,UTTAR PRADESH,Kannauj,9,RAM KARAN,VAJP,0,Graduate,37,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7291
2009,UTTAR PRADESH,Kannauj,10,RAM SWAROOP,JPS,0,Graduate,70,"Rs 21,20,187 ~ 21 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7304
2009,UTTAR PRADESH,Kannauj,11,SANJEEV,IND,0,Post Graduate,25,"Rs 14,10,000 ~ 14 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7303
2009,UTTAR PRADESH,Kannauj,12,SHAHAN SHAH,IND,0,8th Pass,37,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7300
2009,UTTAR PRADESH,Kannauj,13,SHRIKRISHNA SHAKYA,IND,0,Graduate Professional,56,"Rs 50,50,000 ~ 50 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7302
2009,UTTAR PRADESH,Kannauj,14,SUBRAT PATHAK,BJP,0,Graduate,29,"Rs 1,01,72,404 ~ 1 Crore+","Rs 4,68,672 ~ 4 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=7293
2009,UTTAR PRADESH,Kannauj,15,VIJAY SINGH CHAUHAN,Mahan Dal,0,12th Pass,53,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8340
