Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,UTTARAKHAND,Nainital_Udhamsingh_Nagar,5,K.C. SINGH BABA,INC,0,12th Pass,60,"Rs 4,39,87,049 ~ 4 Crore+","Rs 6,49,024 ~ 6 Lacs+",Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=8267
2009,UTTARAKHAND,Nainital_Udhamsingh_Nagar,1,BACHI SINGH RAWAT,BJP,0,Not Given,59,"Rs 63,86,696 ~ 63 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8266
2009,UTTARAKHAND,Nainital_Udhamsingh_Nagar,2,BAHADUR SINGH JANGI,CPI(ML)(L),0,Not Given,57,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8269
2009,UTTARAKHAND,Nainital_Udhamsingh_Nagar,3,BINDU GUPTA,IND,3,Not Given,41,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8273
2009,UTTARAKHAND,Nainital_Udhamsingh_Nagar,4,DR. NARAYAN SINGH JANTWAL,UKKD,0,Not Given,47,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8264
2009,UTTARAKHAND,Nainital_Udhamsingh_Nagar,6,MADAN SINGH MER,LJP,0,Not Given,58,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8270
2009,UTTARAKHAND,Nainital_Udhamsingh_Nagar,7,MAHESH CHANDRA KANDPAL,IND,0,Not Given,56,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8274
2009,UTTARAKHAND,Nainital_Udhamsingh_Nagar,8,MOUALANA YADE ILAHI,IND,0,Not Given,32,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8275
2009,UTTARAKHAND,Nainital_Udhamsingh_Nagar,9,NARAYAN PAL,BSP,0,Not Given,43,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8263
2009,UTTARAKHAND,Nainital_Udhamsingh_Nagar,10,PREM PRAKASH SINGH,SP,0,Not Given,54,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8265
2009,UTTARAKHAND,Nainital_Udhamsingh_Nagar,11,RAIS AHMAD ANSARI,JD(S),0,Not Given,34,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8271
2009,UTTARAKHAND,Nainital_Udhamsingh_Nagar,12,RISHI PAL SINGH,Akhil Bharatiya Rajarya Sabha,0,Not Given,42,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8268
2009,UTTARAKHAND,Nainital_Udhamsingh_Nagar,13,SHEESHPAL SINGH ARYA,ANC,0,Not Given,49,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8272
2009,UTTARAKHAND,Nainital_Udhamsingh_Nagar,14,SITARAM,IND,0,Not Given,42,Nil,Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8276
