Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2009,UTTARAKHAND,Tehri_Garhwal,7,Mala Rajya Laxmi Shah,BJP,0,12th Pass,62,"Rs 1,52,90,06,846 ~ 152 Crore+","Rs 1,69,41,834 ~ 1 Crore+",Yes,https://www.myneta.info/lsbye2012/candidate.php?candidate_id=2
2009,UTTARAKHAND,Tehri_Garhwal,1,Barhm Dev Jha,IND,0,Post Graduate,46,"Rs 1,20,14,454 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/lsbye2012/candidate.php?candidate_id=14
2009,UTTARAKHAND,Tehri_Garhwal,2,Darshan Lal Dimari ,ABHM,0,5th Pass,77,Nil,Rs 0 ~,No,https://www.myneta.info/lsbye2012/candidate.php?candidate_id=10
2009,UTTARAKHAND,Tehri_Garhwal,3,Jauhari Lal Suman ,IND,0,Graduate Professional,56,Not Available,Not Available,No,https://www.myneta.info/lsbye2012/candidate.php?candidate_id=12
2009,UTTARAKHAND,Tehri_Garhwal,4,Kuldeep Madhwal,UPP,0,12th Pass,59,"Rs 13,09,500 ~ 13 Lacs+",Rs 0 ~,No,https://www.myneta.info/lsbye2012/candidate.php?candidate_id=8
2009,UTTARAKHAND,Tehri_Garhwal,5,Kunwar Japinder Singh Uttarakhandi ,Uttarakhand Raksha Morcha,0,Not Given,42,"Rs 25,99,26,789 ~ 25 Crore+",Rs 0 ~,No,https://www.myneta.info/lsbye2012/candidate.php?candidate_id=9
2009,UTTARAKHAND,Tehri_Garhwal,6,Liyakat Ali ,Rashtriya Ekta Party,0,5th Pass,42,Not Available,Not Available,No,https://www.myneta.info/lsbye2012/candidate.php?candidate_id=11
2009,UTTARAKHAND,Tehri_Garhwal,8,Manish Verma ,IND,7,10th Pass,42,"Rs 4,77,41,000 ~ 4 Crore+","Rs 1,72,00,000 ~ 1 Crore+",No,https://www.myneta.info/lsbye2012/candidate.php?candidate_id=3
2009,UTTARAKHAND,Tehri_Garhwal,9,Naveen Kumar Bhatt ,IND,0,Post Graduate,32,Not Available,Not Available,No,https://www.myneta.info/lsbye2012/candidate.php?candidate_id=13
2009,UTTARAKHAND,Tehri_Garhwal,10,Saket Bahuguna ,INC,0,Graduate Professional,38,"Rs 2,19,99,493 ~ 2 Crore+","Rs 4,77,00,357 ~ 4 Crore+",No,https://www.myneta.info/lsbye2012/candidate.php?candidate_id=7
2009,UTTARAKHAND,Tehri_Garhwal,11,Sanjay Goyal,IND,0,12th Pass,43,"Rs 29,15,000 ~ 29 Lacs+","Rs 1,50,000 ~ 1 Lacs+",No,https://www.myneta.info/lsbye2012/candidate.php?candidate_id=5
2009,UTTARAKHAND,Tehri_Garhwal,12,Trivendra Singh Panwar,UKD(P),0,Graduate,56,Not Available,Not Available,No,https://www.myneta.info/lsbye2012/candidate.php?candidate_id=1
2009,UTTARAKHAND,Tehri_Garhwal,13,Vigyan Bikram Shah,IND,0,Graduate,63,"Rs 76,44,34,800 ~ 76 Crore+","Rs 6,00,000 ~ 6 Lacs+",No,https://www.myneta.info/lsbye2012/candidate.php?candidate_id=4
2009,UTTARAKHAND,Tehri_Garhwal,14,Yogi Rakesh Nath,JUKD,0,Others,55,"Rs 42,00,000 ~ 42 Lacs+",Rs 0 ~,No,https://www.myneta.info/lsbye2012/candidate.php?candidate_id=6
2009,UTTARAKHAND,Tehri_Garhwal,17,VIJAY BAHUGUNA,INC,0,Graduate Professional,62,"Rs 1,35,01,773 ~ 1 Crore+",Rs 0 ~,Yes,https://www.myneta.info/ls2009/candidate.php?candidate_id=8225
2009,UTTARAKHAND,Tehri_Garhwal,1,ANJANA WALIA,RJSD,0,Post Graduate,36,"Rs 27,37,35,000 ~ 27 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8227
2009,UTTARAKHAND,Tehri_Garhwal,2,BACHI RAM,CPM,1,Graduate,73,"Rs 79,16,175 ~ 79 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8223
2009,UTTARAKHAND,Tehri_Garhwal,3,BANO RANI,NLHP,0,8th Pass,32,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8228
2009,UTTARAKHAND,Tehri_Garhwal,4,BARHM DEV JHA,IND,0,Post Graduate,43,"Rs 1,00,94,943 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8234
2009,UTTARAKHAND,Tehri_Garhwal,5,DR. NAGENDRA DUTT JAGOODI,IND,0,Post Graduate,52,"Rs 10,38,999 ~ 10 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8233
2009,UTTARAKHAND,Tehri_Garhwal,6,HARISH WALIA,IND,0,Post Graduate,36,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8239
2009,UTTARAKHAND,Tehri_Garhwal,7,JASPAL RANA,BJP,0,12th Pass,32,"Rs 1,37,37,284 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8222
2009,UTTARAKHAND,Tehri_Garhwal,8,KEDAR SINGH,IND,0,8th Pass,39,"Rs 7,98,000 ~ 7 Lacs+","Rs 20,000 ~ 20 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8232
2009,UTTARAKHAND,Tehri_Garhwal,9,MUNNA SINGH CHAUHAN,BSP,1,Not Given,48,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8224
2009,UTTARAKHAND,Tehri_Garhwal,10,RAM SINGH RAWAT,IND,0,Graduate Professional,33,"Rs 1,03,000 ~ 1 Lacs+","Rs 80,000 ~ 80 Thou+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8235
2009,UTTARAKHAND,Tehri_Garhwal,11,SANJAY,IND,0,12th Pass,35,"Rs 5,90,002 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8238
2009,UTTARAKHAND,Tehri_Garhwal,12,SHAILESH,UKKD,0,Graduate,38,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8226
2009,UTTARAKHAND,Tehri_Garhwal,13,SHAILESH KUMAR VERMA,LJP,1,12th Pass,32,"Rs 1,90,400 ~ 1 Lacs+","Rs 5,00,000 ~ 5 Lacs+",No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8229
2009,UTTARAKHAND,Tehri_Garhwal,14,SHIV NARAIN,IND,0,Post Graduate,63,"Rs 45,30,400 ~ 45 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8237
2009,UTTARAKHAND,Tehri_Garhwal,15,SUDESH SHARMA,AD,0,12th Pass,31,Not Available,Not Available,No,https://www.myneta.info/ls2009/candidate.php?candidate_id=8230
