Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,WEST BENGAL,Medinipur,8,Prabodh Panda,CPI,0,Graduate,63,"Rs 22,30,746 ~ 22 Lacs+","Rs 3,62,156 ~ 3 Lacs+",Yes
2009,WEST BENGAL,Medinipur,1,Amit Moitra,IND,0,Post Graduate,63,"Rs 9,74,700 ~ 9 Lacs+",Rs 0 ~,No
2009,WEST BENGAL,Medinipur,2,Asok Kumar Golder,BSP,0,Graduate,64,"Rs 17,26,371 ~ 17 Lacs+",Rs 0 ~,No
2009,WEST BENGAL,Medinipur,3,De Sukumar,IND,0,Graduate Professional,55,Not Available,Not Available,No
2009,WEST BENGAL,Medinipur,4,Dipak Kumar Ghosh,AITC,1,Graduate Professional,72,"Rs 44,40,000 ~ 44 Lacs+",Rs 0 ~,No
2009,WEST BENGAL,Medinipur,5,Mukul Kumar Maiti,RDMP,0,12th Pass,33,"Rs 2,00,300 ~ 2 Lacs+",Rs 0 ~,No
2009,WEST BENGAL,Medinipur,6,Nepal Das,JMM,0,12th Pass,60,Not Available,Not Available,No
2009,WEST BENGAL,Medinipur,7,Partha Addhya,IND,0,Graduate,32,"Rs 3,87,328 ~ 3 Lacs+",Rs 0 ~,No
2009,WEST BENGAL,Medinipur,9,Pradip Patnaik,BJP,1,12th Pass,52,Not Available,Not Available,No
2009,WEST BENGAL,Medinipur,10,Sanjay Mishra,IND,0,10th Pass,49,"Rs 1,83,000 ~ 1 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No
