Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2009,WEST BENGAL,Murshidabad,1,ABDUL MANNAN HOSSAIN,INC,1,Graduate,56,"Rs 17,09,788 ~ 17 Lacs+","Rs 10,06,391 ~ 10 Lacs+",Yes
2009,WEST BENGAL,Murshidabad,2,ALAM MEHDI,IND,0,Not Given,43,Nil,Rs 0 ~,No
2009,WEST BENGAL,Murshidabad,3,ANISUR RAHAMAN SARKAR,CPM,0,Post Graduate,57,Not Available,Not Available,No
2009,WEST BENGAL,Murshidabad,4,CHANDAN KR. MONDAL,IND,0,10th Pass,43,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No
2009,WEST BENGAL,Murshidabad,5,CHITTA RANJAN MANDAL,BSP,0,12th Pass,32,"Rs 2,15,000 ~ 2 Lacs+",Rs 0 ~,No
2009,WEST BENGAL,Murshidabad,6,DR. SUKUMAR GHOSH,IND,1,Others,53,Not Available,Not Available,No
2009,WEST BENGAL,Murshidabad,7,JAFORULLA MOLLA,AUDF,0,Graduate,54,"Rs 9,57,118 ~ 9 Lacs+",Rs 300 ~ 3 Hund+,No
2009,WEST BENGAL,Murshidabad,8,KHADIJA BANU,IND,0,Graduate,54,"Rs 2,90,000 ~ 2 Lacs+",Rs 0 ~,No
2009,WEST BENGAL,Murshidabad,9,MD. SAHAZAMAL,SP,0,Not Given,44,Not Available,Not Available,No
2009,WEST BENGAL,Murshidabad,10,NIRMAL KUMAR SAHA,BJP,0,10th Pass,41,"Rs 1,15,70,047 ~ 1 Crore+","Rs 18,15,197 ~ 18 Lacs+",No
2009,WEST BENGAL,Murshidabad,11,SANTWANA HALDER (SAHA),IND,0,10th Pass,32,"Rs 2,07,500 ~ 2 Lacs+",Rs 0 ~,No
