Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,ANDHRA PRADESH,MACHILIPATNAM,4,Konakalla Narayana Rao,TDP,0,12th Pass,64,"Rs 3,48,50,000 ~ 3 Crore+","Rs 98,00,000 ~ 98 Lacs+",Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=8339
2014,ANDHRA PRADESH,MACHILIPATNAM,1,Jampana Srinivasa Goud,IND,1,10th Pass,48,"Rs 13,72,180 ~ 13 Lacs+","Rs 2,12,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8880
2014,ANDHRA PRADESH,MACHILIPATNAM,2,Kammili Srinivas,Jai Samaikyandhra Party,0,Graduate Professional,42,"Rs 49,93,99,880 ~ 49 Crore+","Rs 2,28,00,000 ~ 2 Crore+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8876
2014,ANDHRA PRADESH,MACHILIPATNAM,3,Kolusu Partha Sarathy,Yuvajana Sramika Rythu Congress Party,6,12th Pass,48,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8205
2014,ANDHRA PRADESH,MACHILIPATNAM,5,Mohammad Ishaq,IND,0,10th Pass,41,"Rs 1,11,49,954 ~ 1 Crore+","Rs 51,33,921 ~ 51 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8873
2014,ANDHRA PRADESH,MACHILIPATNAM,6,Parasa Srinivasa Rao,IND,1,10th Pass,35,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8875
2014,ANDHRA PRADESH,MACHILIPATNAM,7,Peggam Prasada Rao,BSP,0,Post Graduate,37,"Rs 8,70,000 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8878
2014,ANDHRA PRADESH,MACHILIPATNAM,8,Sistla Ramesh,INC,0,Graduate Professional,51,"Rs 1,10,00,000 ~ 1 Crore+","Rs 3,00,000 ~ 3 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8877
2014,ANDHRA PRADESH,MACHILIPATNAM,9,Vadapalli Raghunadh,Pyramid Party of India,0,Graduate,63,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8204
2014,ANDHRA PRADESH,MACHILIPATNAM,10,Yarlagadda Rama Mohana Rao,IND,0,12th Pass,51,"Rs 1,06,72,000 ~ 1 Crore+","Rs 32,10,000 ~ 32 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8874
2014,ANDHRA PRADESH,MACHILIPATNAM,11,Yenduri Subramanyeswara Rao,IND,0,10th Pass,55,"Rs 8,20,000 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8337
