Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,ANDHRA PRADESH,NARSAPURAM,4,Gokaraju Ganga Raju,BJP,1,Graduate,69,"Rs 2,88,35,67,122 ~ 288 Crore+","Rs 16,85,01,286 ~ 16 Crore+",Yes
2014,ANDHRA PRADESH,NARSAPURAM,1,Badampudi Siva,IND,0,Graduate,27,"Rs 40,000 ~ 40 Thou+",Rs 0 ~,No
2014,ANDHRA PRADESH,NARSAPURAM,2,Chintapalli Kanaka Rao,BSP,0,Post Graduate,55,"Rs 12,25,000 ~ 12 Lacs+","Rs 20,00,000 ~ 20 Lacs+",No
2014,ANDHRA PRADESH,NARSAPURAM,3,Gitadas Das W/o Hariharadas Das,Prem Janata Dal,0,8th Pass,28,Not Available,Not Available,No
2014,ANDHRA PRADESH,NARSAPURAM,5,Kanumuri Bapiraju S/o. Krishnam Raju,INC,0,12th Pass,66,"Rs 9,27,84,471 ~ 9 Crore+","Rs 55,69,281 ~ 55 Lacs+",No
2014,ANDHRA PRADESH,NARSAPURAM,6,Medapati Varahala Reddy,IND,0,Others,38,Not Available,Not Available,No
2014,ANDHRA PRADESH,NARSAPURAM,7,Nalli Rajesh,Republican Paksha (Khoripa),1,Others,31,"Rs 3,95,000 ~ 3 Lacs+",Rs 0 ~,No
2014,ANDHRA PRADESH,NARSAPURAM,8,"Polasapalli Saroja,",Jai Samaikyandhra Party,6,Post Graduate,33,"Rs 6,72,65,000 ~ 6 Crore+","Rs 3,50,000 ~ 3 Lacs+",No
2014,ANDHRA PRADESH,NARSAPURAM,9,Sekhar Babu Dorababu Addanki,IND,0,10th Pass,44,Not Available,Not Available,No
2014,ANDHRA PRADESH,NARSAPURAM,10,Sivaji Gottumukkala,IND,0,Post Graduate,45,"Rs 63,62,000 ~ 63 Lacs+","Rs 2,50,000 ~ 2 Lacs+",No
2014,ANDHRA PRADESH,NARSAPURAM,11,Svpkh Gopala Krishnam Raju S/o. Venkathiraju,Pyramid Party of India,0,Post Graduate,48,"Rs 5,92,50,056 ~ 5 Crore+","Rs 82,00,000 ~ 82 Lacs+",No
2014,ANDHRA PRADESH,NARSAPURAM,12,Vangalapudi Yeshayya,IND,0,5th Pass,40,Not Available,Not Available,No
2014,ANDHRA PRADESH,NARSAPURAM,13,Vanka Ravindranath S/o Satyanarayana,Yuvajana Sramika Rythu Congress Party,0,12th Pass,53,"Rs 1,26,79,07,245 ~ 126 Crore+",Rs 0 ~,No
2014,ANDHRA PRADESH,NARSAPURAM,14,Voleti Venkata Lakshmana Rao,IND,0,Post Graduate,49,"Rs 1,34,74,087 ~ 1 Crore+","Rs 13,18,000 ~ 13 Lacs+",No
