Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,ASSAM,DHUBRI,4,Badruddin Ajmal,AIUDF,1,Post Graduate,50,"Rs 43,27,48,134 ~ 43 Crore+",Rs 0 ~,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=4088
2014,ASSAM,DHUBRI,1,Ali Hussain,IND,0,Graduate,36,"Rs 1,14,136 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4875
2014,ASSAM,DHUBRI,2,Anowar Hussain,AGP,0,Graduate,45,"Rs 8,28,710 ~ 8 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4429
2014,ASSAM,DHUBRI,3,Azmal Hussain,AAP,0,12th Pass,53,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4091
2014,ASSAM,DHUBRI,5,Dr. Debomoy Sanyal,BJP,0,Post Graduate,55,"Rs 1,81,36,679 ~ 1 Crore+","Rs 1,50,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=78
2014,ASSAM,DHUBRI,6,Kashem Ali Akonda,IND,0,12th Pass,30,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4868
2014,ASSAM,DHUBRI,7,Kasir Uddin Sk.,IUML,0,12th Pass,63,"Rs 27,46,500 ~ 27 Lacs+","Rs 16,000 ~ 16 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4871
2014,ASSAM,DHUBRI,8,Mohar Uddin Mondal,IND,0,Graduate Professional,44,"Rs 43,32,581 ~ 43 Lacs+","Rs 9,000 ~ 9 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4874
2014,ASSAM,DHUBRI,9,Mohendra Chandra Roy,IND,0,8th Pass,43,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4873
2014,ASSAM,DHUBRI,10,Monirul Hussain,IND,0,12th Pass,30,"Rs 4,53,385 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4866
2014,ASSAM,DHUBRI,11,Ram Ekbal Shahani,IND,0,5th Pass,62,"Rs 27,55,078 ~ 27 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4867
2014,ASSAM,DHUBRI,12,Surat Jaman Mondal,SUCI(C),0,Others,60,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4090
2014,ASSAM,DHUBRI,13,Wazed Ali Choudhury,INC,0,Graduate,52,"Rs 2,39,83,914 ~ 2 Crore+","Rs 62,20,000 ~ 62 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4430
2014,ASSAM,DHUBRI,14,Yousub Ali Ahmed,SP,0,12th Pass,66,"Rs 64,69,882 ~ 64 Lacs+","Rs 80,000 ~ 80 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4872
2014,ASSAM,DHUBRI,15,Zesmina Khatun,AITC,0,12th Pass,26,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4869
