Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,ASSAM,MANGALDOI,7,Ramen Deka,BJP,0,Graduate,59,"Rs 1,47,82,357 ~ 1 Crore+","Rs 54,00,953 ~ 54 Lacs+",Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=83
2014,ASSAM,MANGALDOI,1,Aroon Barooa,Regional Democratic Secular Congress,0,Post Graduate,58,"Rs 7,32,083 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4887
2014,ASSAM,MANGALDOI,2,Deba Kumar Barman,AITC,0,Others,42,"Rs 1,52,02,790 ~ 1 Crore+","Rs 9,48,237 ~ 9 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4444
2014,ASSAM,MANGALDOI,3,Kirip Chaliha,INC,0,Post Graduate,59,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4097
2014,ASSAM,MANGALDOI,4,Madhab Rajbangshi,AGP,0,Graduate Professional,58,"Rs 67,79,962 ~ 67 Lacs+","Rs 54,80,000 ~ 54 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4098
2014,ASSAM,MANGALDOI,5,Namrata Sarma,AAP,0,Post Graduate,34,"Rs 2,19,905 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4448
2014,ASSAM,MANGALDOI,6,Paresh Baishya,AIUDF,2,Graduate,43,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4446
2014,ASSAM,MANGALDOI,8,Ratul Kumar Choudhury,SP,1,Graduate,47,"Rs 7,80,000 ~ 7 Lacs+","Rs 80,000 ~ 80 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4447
2014,ASSAM,MANGALDOI,9,Sahadev Das,BPF,0,Post Graduate,49,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4449
2014,ASSAM,MANGALDOI,10,Sahnur Ali,IND,0,10th Pass,53,"Rs 20,01,874 ~ 20 Lacs+","Rs 2,15,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4886
2014,ASSAM,MANGALDOI,11,Shachindra Nath Brahma,IND,0,10th Pass,60,"Rs 41,000 ~ 41 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4445
2014,ASSAM,MANGALDOI,12,Swarnalata Chaliha,SUCI(C),0,Post Graduate,38,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4099
