Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,ASSAM,SILCHAR,15,Sushmita Dev,INC,1,Post Graduate,41,Not Available,Not Available,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=2255
2014,ASSAM,SILCHAR,1,Abdul Mannan Barbhuiya,AAP,0,Graduate,56,"Rs 10,42,000 ~ 10 Lacs+","Rs 9,00,000 ~ 9 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2265
2014,ASSAM,SILCHAR,2,Arunangshu Bhattacharjee,SUCI(C),0,Post Graduate,55,"Rs 8,73,605 ~ 8 Lacs+","Rs 6,66,567 ~ 6 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2254
2014,ASSAM,SILCHAR,3,Bijoy Krishna Nath,AGP,0,Graduate,70,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2263
2014,ASSAM,SILCHAR,4,Jayanta Mallick,IND,1,Graduate,44,"Rs 7,77,174 ~ 7 Lacs+","Rs 43,000 ~ 43 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2259
2014,ASSAM,SILCHAR,5,Kabindra Purkayastha,BJP,0,Post Graduate,82,"Rs 62,36,945 ~ 62 Lacs+","Rs 1,30,502 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=77
2014,ASSAM,SILCHAR,6,Kamal Das,IND,0,5th Pass,39,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2267
2014,ASSAM,SILCHAR,7,Kutub Ahmed Mazumder,AIUDF,0,Graduate,74,"Rs 12,49,603 ~ 12 Lacs+","Rs 1,90,679 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2261
2014,ASSAM,SILCHAR,8,Madhu Sudhan Das,IND,0,12th Pass,48,"Rs 72,053 ~ 72 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2264
2014,ASSAM,SILCHAR,9,Nilu Mandol,SHS,0,8th Pass,38,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2268
2014,ASSAM,SILCHAR,10,Nirupam Mandal,IND,0,Graduate Professional,31,"Rs 25,500 ~ 25 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2260
2014,ASSAM,SILCHAR,11,Rashid Ahmed Laskar,SP,0,12th Pass,28,"Rs 7,85,000 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2266
2014,ASSAM,SILCHAR,12,Rejamond Ali Barbhuiya,CPI(M),0,Graduate Professional,52,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2256
2014,ASSAM,SILCHAR,13,Shuvadip Datta,IND,0,12th Pass,48,"Rs 61,23,000 ~ 61 Lacs+","Rs 3,65,707 ~ 3 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2269
2014,ASSAM,SILCHAR,14,Sukamal Das,IND,0,8th Pass,28,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2262
2014,ASSAM,SILCHAR,16,Upendra Chandra Das,IND,0,8th Pass,44,"Rs 6,95,001 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2258
2014,ASSAM,SILCHAR,17,Wazid Reja Osmani,AITC,0,Doctorate,35,"Rs 73,84,788 ~ 73 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2257
