Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,BIHAR,ARARIA,12,Taslim Uddin,RJD,4,Literate,72,Not Available,Not Available,Yes
2014,BIHAR,ARARIA,1,Abdul Rahman,BSP,0,Literate,29,"Rs 8,13,848 ~ 8 Lacs+",Rs 0 ~,No
2014,BIHAR,ARARIA,2,Bidya Nand Paswan,Bahujan Mukti Party,0,12th Pass,61,"Rs 8,56,973 ~ 8 Lacs+","Rs 7,000 ~ 7 Thou+",No
2014,BIHAR,ARARIA,3,Chandra Bhushan,AAP,0,Graduate Professional,48,Not Available,Not Available,No
2014,BIHAR,ARARIA,4,Md Aslam Beg,Janta Dal Rashtravadi,1,12th Pass,35,"Rs 15,000 ~ 15 Thou+","Rs 63,733 ~ 63 Thou+",No
2014,BIHAR,ARARIA,5,Pankaj Kishor Mandal,IND,2,10th Pass,34,"Rs 2,02,412 ~ 2 Lacs+","Rs 50,000 ~ 50 Thou+",No
2014,BIHAR,ARARIA,6,Pradeep Kumar Singh,BJP,4,10th Pass,48,Not Available,Not Available,No
2014,BIHAR,ARARIA,7,Rajesh Kumar,Bharat Vikas Morcha,0,10th Pass,46,"Rs 14,75,000 ~ 14 Lacs+","Rs 50,000 ~ 50 Thou+",No
2014,BIHAR,ARARIA,8,Ramanand Rishideo,Lok Dal,0,12th Pass,63,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,No
2014,BIHAR,ARARIA,9,Sanjay Kumar Rishidev,CPI(ML)L,1,Literate,32,Not Available,Not Available,No
2014,BIHAR,ARARIA,10,Sarwat Jahre Ansari,Samajwadi Janata Party (Rashtriya),0,Post Graduate,37,"Rs 2,96,000 ~ 2 Lacs+",Rs 0 ~,No
2014,BIHAR,ARARIA,11,Syed Alamdar Hussain,IND,0,12th Pass,38,"Rs 36,10,000 ~ 36 Lacs+",Rs 0 ~,No
2014,BIHAR,ARARIA,13,Vijay Kumar Mandal,JD(U),1,10th Pass,51,"Rs 43,26,107 ~ 43 Lacs+",Rs 0 ~,No
