Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,BIHAR,BHAGALPUR,14,Shailesh Kumar Urph Bulo Mandal,RJD,1,12th Pass,38,"Rs 2,02,16,734 ~ 2 Crore+",Rs 0 ~,Yes
2014,BIHAR,BHAGALPUR,1,Abu Qaiser,JD(U),1,Graduate,40,"Rs 4,51,38,014 ~ 4 Crore+","Rs 17,00,000 ~ 17 Lacs+",No
2014,BIHAR,BHAGALPUR,2,Anand Kumar Jain,IND,0,Graduate Professional,52,"Rs 61,72,660 ~ 61 Lacs+",Rs 0 ~,No
2014,BIHAR,BHAGALPUR,3,Gaurav Kumar Ghosh,National Tiger Party,0,12th Pass,35,Not Available,Not Available,No
2014,BIHAR,BHAGALPUR,4,Indradeo Kumar Singh,IND,0,Graduate Professional,35,"Rs 33,12,913 ~ 33 Lacs+",Rs 0 ~,No
2014,BIHAR,BHAGALPUR,5,Kumkum Singh,Bharat Vikas Morcha,1,Doctorate,57,"Rs 8,25,000 ~ 8 Lacs+",Rs 0 ~,No
2014,BIHAR,BHAGALPUR,6,Mahadev Kumar,IND,1,10th Pass,57,Not Available,Not Available,No
2014,BIHAR,BHAGALPUR,7,Naushaba Khanam,BSP,2,10th Pass,33,"Rs 67,56,440 ~ 67 Lacs+","Rs 6,00,000 ~ 6 Lacs+",No
2014,BIHAR,BHAGALPUR,8,Nishi Kant Mandal,Bahujan Mukti Party,0,Graduate Professional,28,"Rs 14,80,865 ~ 14 Lacs+","Rs 3,03,354 ~ 3 Lacs+",No
2014,BIHAR,BHAGALPUR,9,Pro. Yogendra Mahto,AAP,0,Doctorate,55,Not Available,Not Available,No
2014,BIHAR,BHAGALPUR,10,Purushottam Choubey,SP,2,10th Pass,47,"Rs 1,15,63,93,030 ~ 115 Crore+","Rs 2,03,10,000 ~ 2 Crore+",No
2014,BIHAR,BHAGALPUR,11,Ramji Mandal,IND,0,10th Pass,47,"Rs 36,31,000 ~ 36 Lacs+",Rs 0 ~,No
2014,BIHAR,BHAGALPUR,12,Ranjan Kumar,IND,0,8th Pass,31,Not Available,Not Available,No
2014,BIHAR,BHAGALPUR,13,Rinki Kumari,CPI(ML)(L),7,Post Graduate,30,"Rs 22,192 ~ 22 Thou+",Rs 0 ~,No
2014,BIHAR,BHAGALPUR,15,Sikandar Tanti,IND,0,8th Pass,40,Not Available,Not Available,No
2014,BIHAR,BHAGALPUR,16,Suman Kumar,IND,0,Graduate,30,"Rs 4,92,000 ~ 4 Lacs+",Rs 0 ~,No
2014,BIHAR,BHAGALPUR,17,Syed Shahnawaz Hussain,BJP,0,10th Pass,45,"Rs 4,70,44,000 ~ 4 Crore+","Rs 1,40,07,000 ~ 1 Crore+",No
2014,BIHAR,BHAGALPUR,18,Viren Das,Sankhyanupati Bhagidari Party,0,Literate,52,Not Available,Not Available,No
