Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,BIHAR,BUXAR,1,Ashwini Kumar Choubey,BJP,0,Graduate,61,"Rs 2,21,00,499 ~ 2 Crore+","Rs 19,23,552 ~ 19 Lacs+",Yes
2014,BIHAR,BUXAR,2,Dadan Yadav,BSP,22,10th Pass,50,"Rs 2,62,50,000 ~ 2 Crore+","Rs 10,35,94,500 ~ 10 Crore+",No
2014,BIHAR,BUXAR,3,Indu Singh,CPI(ML)L,0,Graduate Professional,36,Not Available,Not Available,No
2014,BIHAR,BUXAR,4,Jagadanand Singh,RJD,0,Graduate Professional,70,"Rs 2,01,42,620 ~ 2 Crore+",Rs 0 ~,No
2014,BIHAR,BUXAR,5,Lallan Rup Narayan Pathak,IND,0,Doctorate,70,"Rs 77,50,000 ~ 77 Lacs+",Rs 0 ~,No
2014,BIHAR,BUXAR,6,Mokaram Hussain,Suheldev Bhartiya Samaj Party,0,10th Pass,62,Not Available,Not Available,No
2014,BIHAR,BUXAR,7,Monibur Rahman,Janta Dal Rashtravadi,0,12th Pass,44,"Rs 31,30,000 ~ 31 Lacs+",Rs 0 ~,No
2014,BIHAR,BUXAR,8,Narendra Pratap Singh,IND,0,Post Graduate,33,"Rs 72,94,224 ~ 72 Lacs+",Rs 0 ~,No
2014,BIHAR,BUXAR,9,Pradeep Kumar Prasad,Pragatisheel Manav Samaj Party,0,10th Pass,34,Not Available,Not Available,No
2014,BIHAR,BUXAR,10,Prashuram Prasad,Bahujan Mukti Party,1,12th Pass,35,"Rs 4,60,000 ~ 4 Lacs+",Rs 0 ~,No
2014,BIHAR,BUXAR,11,Rajendra Kumar Singh Chauhan,Bharat Vikas Morcha,0,Literate,48,"Rs 35,000 ~ 35 Thou+",Rs 0 ~,No
2014,BIHAR,BUXAR,12,Sheo Gopal Chaudhry,IND,0,Graduate,74,Not Available,Not Available,No
2014,BIHAR,BUXAR,13,Shweta Pathak,AAP,0,Graduate,30,"Rs 69,53,992 ~ 69 Lacs+",Rs 0 ~,No
2014,BIHAR,BUXAR,14,Shyam Lal Singh Kushwaha,JD(U),0,10th Pass,59,"Rs 8,18,11,000 ~ 8 Crore+","Rs 19,32,000 ~ 19 Lacs+",No
2014,BIHAR,BUXAR,15,Taphir Husain,Hindustan Vikas Dal,0,5th Pass,48,Not Available,Not Available,No
