Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,BIHAR,HAJIPUR,5,Ram Vilas Paswan,LJP,2,Post Graduate,67,"Rs 96,42,023 ~ 96 Lacs+",Rs 0 ~,Yes
2014,BIHAR,HAJIPUR,1,Dhaneshwar Ram,BSP,0,Graduate,67,"Rs 70,66,500 ~ 70 Lacs+",Rs 0 ~,No
2014,BIHAR,HAJIPUR,2,Dinanath Ram,IND,0,10th Pass,43,"Rs 72,000 ~ 72 Thou+",Rs 0 ~,No
2014,BIHAR,HAJIPUR,3,Raj Kumar Paswan,AAP,0,12th Pass,27,Not Available,Not Available,No
2014,BIHAR,HAJIPUR,4,Ram Sundar Das,JD(U),0,10th Pass,93,"Rs 67,48,748 ~ 67 Lacs+","Rs 11,16,705 ~ 11 Lacs+",No
2014,BIHAR,HAJIPUR,6,Randhir Kumar Ram,Bajjikanchal Vikas Party,0,Graduate,32,Not Available,Not Available,No
2014,BIHAR,HAJIPUR,7,Rina Ragni,Bahujan Mukti Party,0,Graduate,37,"Rs 16,43,000 ~ 16 Lacs+","Rs 16,00,000 ~ 16 Lacs+",No
2014,BIHAR,HAJIPUR,8,Sanjeev Prasad Toni,INC,2,10th Pass,57,"Rs 7,52,79,297 ~ 7 Crore+",Rs 0 ~,No
2014,BIHAR,HAJIPUR,9,Satya Narayan Paswan,AIFB,1,5th Pass,48,Not Available,Not Available,No
2014,BIHAR,HAJIPUR,10,Suresha Paswan,IND,0,10th Pass,48,"Rs 1,38,834 ~ 1 Lacs+",Rs 0 ~,No
2014,BIHAR,HAJIPUR,11,Ujjawal Kant Hunkar,Bharatiya Momin Front,0,Graduate,49,"Rs 1,05,000 ~ 1 Lacs+",Rs 0 ~,No
2014,BIHAR,HAJIPUR,12,Upendra Ram,IND,0,12th Pass,41,Not Available,Not Available,No
2014,BIHAR,HAJIPUR,13,Veerchandra Paswan,SP,2,Post Graduate,50,"Rs 2,06,27,777 ~ 2 Crore+","Rs 1,01,383 ~ 1 Lacs+",No
2014,BIHAR,HAJIPUR,14,Vidhanchandra Rana,Samajwadi Janata Party (Rashtriya),0,Graduate,38,"Rs 4,30,000 ~ 4 Lacs+",Rs 0 ~,No
2014,BIHAR,HAJIPUR,15,Vifiya Devi Urf Vikiya Devi,IND,0,Literate,30,Not Available,Not Available,No
