Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,BIHAR,JHANJHARPUR,6,Birendra Kumar Chaudhary,BJP,0,Post Graduate,60,Not Available,Not Available,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=6180
2014,BIHAR,JHANJHARPUR,1,Akthaar Ali,Jai Prakash Janata Dal,0,Graduate,44,"Rs 1,16,600 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6769
2014,BIHAR,JHANJHARPUR,2,Awdhesh Kumar Shingh,IND,0,Graduate,46,"Rs 12,80,000 ~ 12 Lacs+",Rs 134 ~ 1 Hund+,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6175
2014,BIHAR,JHANJHARPUR,3,Barun Kumar Jha,IND,0,Graduate Professional,52,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6771
2014,BIHAR,JHANJHARPUR,4,Bighnesh Bhagat,Bahujan Mukti Party,0,Graduate,41,"Rs 20,92,390 ~ 20 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6767
2014,BIHAR,JHANJHARPUR,5,Bipin Kumar Jha,Bharat Vikas Morcha,0,Graduate,35,"Rs 40,51,668 ~ 40 Lacs+","Rs 3,00,000 ~ 3 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6763
2014,BIHAR,JHANJHARPUR,7,Chandramohan Jha,IND,3,Doctorate,59,"Rs 13,88,13,648 ~ 13 Crore+","Rs 51,588 ~ 51 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6182
2014,BIHAR,JHANJHARPUR,8,Chhedi Ram,IND,0,Literate,35,"Rs 17,707 ~ 17 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6179
2014,BIHAR,JHANJHARPUR,9,Davendra Prasad Yadav,JD(U),0,Graduate,58,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6178
2014,BIHAR,JHANJHARPUR,10,Dr. Binay Kumar Jha,IND,0,Graduate Professional,56,"Rs 6,64,000 ~ 6 Lacs+","Rs 15,000 ~ 15 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6184
2014,BIHAR,JHANJHARPUR,11,Haidar,VANCHITSAMAJ INSAAF PARTY,3,Others,49,"Rs 6,40,000 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6772
2014,BIHAR,JHANJHARPUR,12,Ibrahim Abbasi,IND,0,5th Pass,36,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6183
2014,BIHAR,JHANJHARPUR,13,Janak Roy,IND,0,Literate,71,"Rs 75,000 ~ 75 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6770
2014,BIHAR,JHANJHARPUR,14,Mangni Lal Mandal,RJD,3,Post Graduate,65,"Rs 7,69,50,805 ~ 7 Crore+","Rs 16,54,819 ~ 16 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6181
2014,BIHAR,JHANJHARPUR,15,Manilal Sahu,BSP,0,5th Pass,69,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6176
2014,BIHAR,JHANJHARPUR,16,Md. Faiyaz Khan,Janta Dal Rashtravadi,0,Post Graduate,45,"Rs 2,68,05,000 ~ 2 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6177
2014,BIHAR,JHANJHARPUR,17,Pawan Kumar,IND,0,Graduate,37,"Rs 51,65,500 ~ 51 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6765
2014,BIHAR,JHANJHARPUR,18,Ram Chandra Safi,IND,0,10th Pass,47,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6764
2014,BIHAR,JHANJHARPUR,19,Tiliya Devi,AAP,1,Literate,66,"Rs 3,01,462 ~ 3 Lacs+","Rs 25,000 ~ 25 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6768
