Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,BIHAR,MADHUBANI,6,Hukum Deo Narayan Yadav,BJP,0,Graduate,77,Not Available,Not Available,Yes
2014,BIHAR,MADHUBANI,1,Abdul Bari Siddiqui,RJD,3,12th Pass,62,"Rs 1,63,43,817 ~ 1 Crore+","Rs 27,18,221 ~ 27 Lacs+",No
2014,BIHAR,MADHUBANI,2,Anirud Sahu,Samajwadi Janata Party (Rashtriya),0,12th Pass,41,"Rs 5,86,000 ~ 5 Lacs+",Rs 800 ~ 8 Hund+,No
2014,BIHAR,MADHUBANI,3,Dhruv Narayan Karn,CPI(ML)L,7,10th Pass,54,Not Available,Not Available,No
2014,BIHAR,MADHUBANI,4,Faiz Ahmad,Jai Prakash Janata Dal,2,Post Graduate,34,"Rs 3,26,684 ~ 3 Lacs+",Rs 0 ~,No
2014,BIHAR,MADHUBANI,5,Harinarayan Yadav,BSP,1,10th Pass,49,"Rs 1,25,47,000 ~ 1 Crore+","Rs 25,000 ~ 25 Thou+",No
2014,BIHAR,MADHUBANI,7,Kumari Rita,SHS,0,Graduate,34,"Rs 25,55,000 ~ 25 Lacs+",Rs 0 ~,No
2014,BIHAR,MADHUBANI,8,Neeraj Pathak,AAP,0,Graduate,30,"Rs 1,37,63,263 ~ 1 Crore+","Rs 1,20,000 ~ 1 Lacs+",No
2014,BIHAR,MADHUBANI,9,Professor Gulam Gaus,JD(U),1,Post Graduate,52,Not Available,Not Available,No
2014,BIHAR,MADHUBANI,10,Ratneshwar Jha,Akhil Bhartiya Mithila Party,0,12th Pass,50,"Rs 12,14,000 ~ 12 Lacs+",Rs 0 ~,No
2014,BIHAR,MADHUBANI,11,Vijay Kumar,IND,0,12th Pass,26,"Rs 51,300 ~ 51 Thou+",Rs 0 ~,No
