Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,BIHAR,SAMASTIPUR,10,Ram Chandra Paswan,LJP,3,10th Pass,53,"Rs 1,30,58,612 ~ 1 Crore+",Rs 0 ~,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=6248
2014,BIHAR,SAMASTIPUR,1,Amit Kumar,Samajwadi Janata Party (Rashtriya),1,12th Pass,25,"Rs 14,78,998 ~ 14 Lacs+","Rs 1,95,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6787
2014,BIHAR,SAMASTIPUR,2,Ashok Paswan,Bahujan Mukti Party,0,Graduate,28,"Rs 71,308 ~ 71 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6252
2014,BIHAR,SAMASTIPUR,3,Baleshwar Paswan,Janta Dal Rashtravadi,0,Graduate,59,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6256
2014,BIHAR,SAMASTIPUR,4,Dr. Ashok Kumar,INC,1,Graduate Professional,59,"Rs 1,45,32,873 ~ 1 Crore+","Rs 11,92,539 ~ 11 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6249
2014,BIHAR,SAMASTIPUR,5,Ganesh Kumar,AAP,0,10th Pass,41,"Rs 22,62,533 ~ 22 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6255
2014,BIHAR,SAMASTIPUR,6,Lal Bahadur Sada,CPI(ML)L,6,10th Pass,43,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6251
2014,BIHAR,SAMASTIPUR,7,Maheshwar Hazari,JD(U),0,Graduate,43,"Rs 2,14,64,499 ~ 2 Crore+","Rs 69,41,446 ~ 69 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6247
2014,BIHAR,SAMASTIPUR,8,Mithilesh Kumar Rajak,IND,0,Graduate,35,"Rs 25,40,933 ~ 25 Lacs+","Rs 25,000 ~ 25 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6254
2014,BIHAR,SAMASTIPUR,9,Ram Chandar Ram,BSP,0,Graduate Professional,62,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6246
2014,BIHAR,SAMASTIPUR,11,Shatrughan Kumar Paswan,Rashtriya Krantikari Samajwadi Party,1,Post Graduate,44,"Rs 16,57,000 ~ 16 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6786
2014,BIHAR,SAMASTIPUR,12,Vijay Kumar Ram,Rajnaitik Vikalp Party,0,12th Pass,27,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6250
