Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,BIHAR,SIWAN,8,Om Prakash Yadav,BJP,1,Graduate,48,"Rs 22,13,023 ~ 22 Lacs+","Rs 19,56,467 ~ 19 Lacs+",Yes
2014,BIHAR,SIWAN,1,Amar Nath Yadav,CPI(ML)L,8,Literate,49,"Rs 63,57,303 ~ 63 Lacs+","Rs 89,897 ~ 89 Thou+",No
2014,BIHAR,SIWAN,2,Ganesh Ram,BSP,1,Post Graduate,42,"Rs 7,79,202 ~ 7 Lacs+",Rs 0 ~,No
2014,BIHAR,SIWAN,3,Hena Sahab,RJD,0,Graduate,41,Not Available,Not Available,No
2014,BIHAR,SIWAN,4,Khalil Miyan Alias Md. Khalil Miyan,GGP,0,Post Graduate,38,"Rs 4,20,444 ~ 4 Lacs+",Rs 0 ~,No
2014,BIHAR,SIWAN,5,Manoj Kr Singh,JD(U),2,12th Pass,45,"Rs 9,92,24,071 ~ 9 Crore+","Rs 14,36,515 ~ 14 Lacs+",No
2014,BIHAR,SIWAN,6,Nagendra Tiwari,Loktantrik Janata Party (Secular),0,Post Graduate,36,Not Available,Not Available,No
2014,BIHAR,SIWAN,7,Narad Pandit,Jai Prakash Janata Dal,0,8th Pass,41,"Rs 92,40,000 ~ 92 Lacs+",Rs 0 ~,No
2014,BIHAR,SIWAN,9,Parmanand God,Swatantra Samaj Party,0,12th Pass,44,Not Available,Not Available,No
2014,BIHAR,SIWAN,10,Parmeshwar Manjhi,Bahujan Mukti Party,0,Graduate,41,"Rs 7,13,458 ~ 7 Lacs+","Rs 60,000 ~ 60 Thou+",No
2014,BIHAR,SIWAN,11,Ram Vinay Ray,Bharatiya Ekta Dal,0,Literate,28,"Rs 1,85,000 ~ 1 Lacs+",Rs 0 ~,No
2014,BIHAR,SIWAN,12,Ranjan Kumar,Bharat Vikas Morcha,0,Graduate,36,Not Available,Not Available,No
2014,BIHAR,SIWAN,13,Satya Prakash Pandey,AAP,0,Graduate Professional,43,"Rs 1,22,31,703 ~ 1 Crore+","Rs 74,07,841 ~ 74 Lacs+",No
