Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,CHHATTISGARH,DURG,24,Tamradwaj Sahu,INC,0,12th Pass,65,Not Available,Not Available,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=3985
2014,CHHATTISGARH,DURG,1,A.k. Mohan,AITC,0,10th Pass,50,"Rs 2,90,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5381
2014,CHHATTISGARH,DURG,2,Alfraid Vikas Luis,IND,0,Graduate,29,"Rs 1,36,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5382
2014,CHHATTISGARH,DURG,3,Arun Kumar Joshi,IND,0,Others,43,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4672
2014,CHHATTISGARH,DURG,4,Atmaram Sahu,SUCI(C),0,Post Graduate,33,"Rs 7,77,014 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4673
2014,CHHATTISGARH,DURG,5,Baldau Prasad Sahu,IND,0,8th Pass,46,"Rs 1,14,412 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5383
2014,CHHATTISGARH,DURG,6,Bharat Bhusan Pandey,CPI(ML) Red Star,1,12th Pass,52,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4674
2014,CHHATTISGARH,DURG,7,Chandra Prakash Mandle,IND,3,Graduate Professional,36,"Rs 2,36,02,100 ~ 2 Crore+","Rs 23,30,000 ~ 23 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3987
2014,CHHATTISGARH,DURG,8,Diwakar Bairagi,IND,1,Post Graduate,50,"Rs 33,40,000 ~ 33 Lacs+","Rs 34,000 ~ 34 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4675
2014,CHHATTISGARH,DURG,9,Jai Prakash Nair,CPI(ML)L,0,12th Pass,42,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4118
2014,CHHATTISGARH,DURG,10,Jinendra Ghritlahare,IND,0,12th Pass,40,"Rs 33,76,000 ~ 33 Lacs+","Rs 50,000 ~ 50 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4678
2014,CHHATTISGARH,DURG,11,Khitiz Kumar Sabharkar,Republican Paksha (Khoripa),0,Graduate Professional,31,"Rs 31,000 ~ 31 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5385
2014,CHHATTISGARH,DURG,12,Mannu Lal Parganiha,Chhattisgarh Swabhiman Manch,0,8th Pass,71,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3986
2014,CHHATTISGARH,DURG,13,Munna Chandrakar,BSP,0,8th Pass,41,"Rs 45,47,946 ~ 45 Lacs+","Rs 45,000 ~ 45 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4679
2014,CHHATTISGARH,DURG,14,Narendra Gupta,Bhrashtachar Mukti Morcha,0,Graduate Professional,53,"Rs 76,85,000 ~ 76 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5386
2014,CHHATTISGARH,DURG,15,Radha Bai Yadav,IND,0,Literate,53,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4681
2014,CHHATTISGARH,DURG,16,Sahetru Singh,IND,0,Post Graduate,45,"Rs 32,24,200 ~ 32 Lacs+","Rs 2,70,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5389
2014,CHHATTISGARH,DURG,17,Sarju Prasad Shukla,IND,0,10th Pass,65,"Rs 1,58,87,210 ~ 1 Crore+","Rs 7,70,000 ~ 7 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5390
2014,CHHATTISGARH,DURG,18,Shailendra Kumar Banjare,Shakti Sena (Bharat Desh),0,Post Graduate,39,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4682
2014,CHHATTISGARH,DURG,19,Sheema Rahangdale,Ambedkarite Party of India,0,Graduate,28,"Rs 2,27,14,000 ~ 2 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5388
2014,CHHATTISGARH,DURG,20,Shitkaran Mahilvar,IND,0,5th Pass,47,"Rs 15,57,000 ~ 15 Lacs+","Rs 3,00,000 ~ 3 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6823
2014,CHHATTISGARH,DURG,21,Shrikant Shah,JD(U),1,10th Pass,40,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6824
2014,CHHATTISGARH,DURG,22,Subodh Kumar Gupta,RPI(A),0,12th Pass,62,"Rs 1,17,33,950 ~ 1 Crore+",Rs 600 ~ 6 Hund+,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4683
2014,CHHATTISGARH,DURG,23,Sushree Saroj Pandey,BJP,0,Doctorate,46,"Rs 32,00,925 ~ 32 Lacs+","Rs 5,08,039 ~ 5 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=108
2014,CHHATTISGARH,DURG,25,Vishwaratan Sinha,AAP,0,Post Graduate,47,"Rs 1,37,59,160 ~ 1 Crore+","Rs 9,94,273 ~ 9 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4684
