Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,CHHATTISGARH,MAHASAMUND,5,Chandu Lal Sahu (chandu Bhaiya) S/o Late Puneen Ram,BJP,0,Graduate Professional,54,"Rs 2,08,79,652 ~ 2 Crore+","Rs 27,00,000 ~ 27 Lacs+",Yes
2014,CHHATTISGARH,MAHASAMUND,1,Abha Pandey,Chhattisgarh Swabhiman Manch,0,8th Pass,32,"Rs 57,08,000 ~ 57 Lacs+","Rs 1,50,000 ~ 1 Lacs+",No
2014,CHHATTISGARH,MAHASAMUND,2,Ajit Pramod Kumar Jogi,INC,1,Graduate Professional,67,"Rs 6,15,83,410 ~ 6 Crore+","Rs 15,00,000 ~ 15 Lacs+",No
2014,CHHATTISGARH,MAHASAMUND,3,Champa Lal Patel,IND,0,Graduate,47,Not Available,Not Available,No
2014,CHHATTISGARH,MAHASAMUND,4,Chandoo Lal Sahu S/o Avadh Ram Sahu,IND,0,8th Pass,25,"Rs 4,000 ~ 4 Thou+",Rs 0 ~,No
2014,CHHATTISGARH,MAHASAMUND,6,Chandu Lal Sahu S/o Balchand Sahu,IND,0,10th Pass,0,Not Available,Not Available,No
2014,CHHATTISGARH,MAHASAMUND,7,Chandu Lal Sahu S/o Biju Ram Sahu,IND,0,5th Pass,26,"Rs 6,000 ~ 6 Thou+",Rs 0 ~,No
2014,CHHATTISGARH,MAHASAMUND,8,Chandu Lal Sahu S/o Late Nathu Ram,IND,0,5th Pass,40,"Rs 2,54,500 ~ 2 Lacs+","Rs 1,50,000 ~ 1 Lacs+",No
2014,CHHATTISGARH,MAHASAMUND,9,Chandu Lal Sahu S/o Parmanand Sahu,IND,0,Literate,61,Not Available,Not Available,No
2014,CHHATTISGARH,MAHASAMUND,10,Chandu Lal Sahu S/o Same Lal Sahu,IND,0,8th Pass,40,"Rs 11,14,000 ~ 11 Lacs+",Rs 0 ~,No
2014,CHHATTISGARH,MAHASAMUND,11,Chandu Lal Sahu S/o Soju Lal Sahu,IND,0,8th Pass,42,"Rs 13,07,000 ~ 13 Lacs+",Rs 0 ~,No
2014,CHHATTISGARH,MAHASAMUND,12,Chandu Ram Sahu S/o Nakul Sahu,IND,0,5th Pass,56,Not Available,Not Available,No
2014,CHHATTISGARH,MAHASAMUND,13,Chandu Ram Sahu S/o Pilau Ram Sahu,IND,0,8th Pass,60,"Rs 6,48,000 ~ 6 Lacs+",Rs 0 ~,No
2014,CHHATTISGARH,MAHASAMUND,14,Chanduram Sahu S/o Ram Karosa Sahu,IND,0,Literate,58,"Rs 12,000 ~ 12 Thou+",Rs 0 ~,No
2014,CHHATTISGARH,MAHASAMUND,15,Dev Prasad Kelkar,IND,0,10th Pass,50,Not Available,Not Available,No
2014,CHHATTISGARH,MAHASAMUND,16,Gangadhar Patel,IND,0,5th Pass,53,"Rs 9,29,000 ~ 9 Lacs+",Rs 0 ~,No
2014,CHHATTISGARH,MAHASAMUND,17,Hemant Pradhan,IND,0,8th Pass,53,"Rs 2,19,000 ~ 2 Lacs+",Rs 0 ~,No
2014,CHHATTISGARH,MAHASAMUND,18,Kanhaiya Sahu,BSP,0,Graduate,51,Not Available,Not Available,No
2014,CHHATTISGARH,MAHASAMUND,19,Lakshman Masturiya,AAP,0,Post Graduate,64,"Rs 22,42,689 ~ 22 Lacs+",Rs 0 ~,No
2014,CHHATTISGARH,MAHASAMUND,20,Mohan Lal Patel,Bhartiya Shakti Chetna Party,0,10th Pass,51,"Rs 43,83,500 ~ 43 Lacs+",Rs 0 ~,No
2014,CHHATTISGARH,MAHASAMUND,21,Moti Lal Sahu S/o Bajaraha Ram Sahu,IND,0,12th Pass,35,Not Available,Not Available,No
2014,CHHATTISGARH,MAHASAMUND,22,Moti Lal Sahu S/o Sone Lal Sahu,IND,0,8th Pass,35,"Rs 13,54,000 ~ 13 Lacs+",Rs 0 ~,No
2014,CHHATTISGARH,MAHASAMUND,23,Patel Shri Dhar Chandrakar,Apna Dal,1,Post Graduate,42,"Rs 2,49,03,805 ~ 2 Crore+","Rs 13,78,101 ~ 13 Lacs+",No
2014,CHHATTISGARH,MAHASAMUND,24,Preeti Dhruw,GGP,0,Others,33,Not Available,Not Available,No
2014,CHHATTISGARH,MAHASAMUND,25,Rupanand Soi,IND,0,12th Pass,38,"Rs 1,85,433 ~ 1 Lacs+",Rs 0 ~,No
2014,CHHATTISGARH,MAHASAMUND,26,Sukhnandan Deshkar,IND,0,8th Pass,43,"Rs 77,50,000 ~ 77 Lacs+","Rs 4,65,000 ~ 4 Lacs+",No
2014,CHHATTISGARH,MAHASAMUND,27,Vijay Kumar Patel,IND,0,Post Graduate,44,Not Available,Not Available,No
