Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,DADRA & NAGAR HAVELI,DADRA_AND_NAGAR_HAVELI,7,Natubhai G. Patel,BJP,5,5th Pass,41,"Rs 15,47,60,217 ~ 15 Crore+","Rs 6,22,86,836 ~ 6 Crore+",Yes
2014,DADRA & NAGAR HAVELI,DADRA_AND_NAGAR_HAVELI,1,Chhotubhai Babubhai Patel,AAP,0,10th Pass,49,"Rs 88,47,442 ~ 88 Lacs+","Rs 68,500 ~ 68 Thou+",No
2014,DADRA & NAGAR HAVELI,DADRA_AND_NAGAR_HAVELI,2,Delkar Mohanbhai Sanjibhai,INC,0,Graduate,51,"Rs 41,46,13,478 ~ 41 Crore+","Rs 1,21,62,079 ~ 1 Crore+",No
2014,DADRA & NAGAR HAVELI,DADRA_AND_NAGAR_HAVELI,3,Dilipbhai N. Bhurkud,IND,0,12th Pass,43,Not Available,Not Available,No
2014,DADRA & NAGAR HAVELI,DADRA_AND_NAGAR_HAVELI,4,Janiabhai C. Khulat,NCP,0,8th Pass,58,"Rs 38,73,077 ~ 38 Lacs+","Rs 4,950 ~ 4 Thou+",No
2014,DADRA & NAGAR HAVELI,DADRA_AND_NAGAR_HAVELI,5,Kamuben K. Patel,IND,0,Illiterate,44,Rs 500 ~ 5 Hund+,Rs 0 ~,No
2014,DADRA & NAGAR HAVELI,DADRA_AND_NAGAR_HAVELI,6,Kishan Nathu Ghutiya,SHS,0,12th Pass,44,Not Available,Not Available,No
2014,DADRA & NAGAR HAVELI,DADRA_AND_NAGAR_HAVELI,8,Patel Hemantbhai Keshavbhai,BSP,0,12th Pass,43,"Rs 1,45,206 ~ 1 Lacs+",Rs 0 ~,No
2014,DADRA & NAGAR HAVELI,DADRA_AND_NAGAR_HAVELI,9,Prakash Vansha Khanvelkar,IND,1,10th Pass,57,Not Available,Not Available,No
2014,DADRA & NAGAR HAVELI,DADRA_AND_NAGAR_HAVELI,10,Umedbhai L. Patel,Bahujan Mukti Party,0,10th Pass,47,"Rs 1,30,000 ~ 1 Lacs+",Rs 0 ~,No
2014,DADRA & NAGAR HAVELI,DADRA_AND_NAGAR_HAVELI,11,Vijaybhay N. Bhoya,JD(U),0,12th Pass,30,"Rs 58,000 ~ 58 Thou+","Rs 16,240 ~ 16 Thou+",No
