Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,GUJARAT,BHARUCH,6,Mansukhbhai Dhanjibhai Vasava,BJP,0,Post Graduate,56,Not Available,Not Available,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=4581
2014,GUJARAT,BHARUCH,1,Anandkumar Sarvarsinh Vasava,IND,0,Post Graduate,32,"Rs 22,96,015 ~ 22 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7316
2014,GUJARAT,BHARUCH,2,Anilkumar Chhitubhai Bhagat,JD(U),2,Graduate,49,"Rs 2,85,98,975 ~ 2 Crore+","Rs 14,92,925 ~ 14 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5301
2014,GUJARAT,BHARUCH,3,Bhura Shabbirbhai Valibhai,IND,0,10th Pass,56,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5307
2014,GUJARAT,BHARUCH,4,Gohil Virsangbhai Parbatbhai,IND,0,10th Pass,49,"Rs 62,86,233 ~ 62 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5304
2014,GUJARAT,BHARUCH,5,Jayeshbhai Ambalalbhai Patel,INC,0,Graduate Professional,57,"Rs 3,34,26,809 ~ 3 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4580
2014,GUJARAT,BHARUCH,7,Morya Sukhramsinh Nakliram,BSP,0,Graduate,74,"Rs 1,15,48,000 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5305
2014,GUJARAT,BHARUCH,8,Nitin Ishwarlal Vakil,IND,0,Graduate Professional,43,"Rs 7,15,400 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7315
2014,GUJARAT,BHARUCH,9,Rana Jayendrasunh Jitsinh,AAP,0,Post Graduate,46,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5302
2014,GUJARAT,BHARUCH,10,Saiyad Mohsinmiya Hedarmiya,Bahujan Mukti Party,0,8th Pass,53,"Rs 21,35,000 ~ 21 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5308
2014,GUJARAT,BHARUCH,11,Sapa Rafikbhai Sulemanbhai,IND,5,5th Pass,51,"Rs 1,86,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5303
2014,GUJARAT,BHARUCH,12,Sayyed Asif Zafar Ali,Apna Desh Party,0,5th Pass,29,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7317
2014,GUJARAT,BHARUCH,13,Shaileshkumar Maganbhai Parmar,IND,0,12th Pass,32,"Rs 1,40,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5306
2014,GUJARAT,BHARUCH,14,Sindhi Mayyudeen Umarbhai,IND,0,10th Pass,54,"Rs 85,01,000 ~ 85 Lacs+","Rs 1,85,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7312
