Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,GUJARAT,BHAVNAGAR,14,Shyal Bhartiben Dhirubhai,BJP,0,Graduate Professional,50,"Rs 1,04,48,925 ~ 1 Crore+","Rs 30,72,058 ~ 30 Lacs+",Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=5309
2014,GUJARAT,BHAVNAGAR,1,Bhavesh Ghanshyambhai Rajyaguru,IND,0,10th Pass,42,"Rs 67,03,000 ~ 67 Lacs+","Rs 1,23,028 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7318
2014,GUJARAT,BHAVNAGAR,2,Dr. Kanubhai V. Kalsaria,AAP,7,Graduate Professional,60,"Rs 17,99,128 ~ 17 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4587
2014,GUJARAT,BHAVNAGAR,3,Gita Chetan Paunda,BSP,0,Graduate Professional,39,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4586
2014,GUJARAT,BHAVNAGAR,4,Gohel Bharatbhai Bhimabhai,IND,0,8th Pass,44,Nil,Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7324
2014,GUJARAT,BHAVNAGAR,5,Gohil Pravinsinh Dhirubha,IND,0,10th Pass,52,"Rs 18,51,000 ~ 18 Lacs+","Rs 1,68,890 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7325
2014,GUJARAT,BHAVNAGAR,6,Jagdishbhai Amrabhai Vegad,IND,0,5th Pass,34,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5310
2014,GUJARAT,BHAVNAGAR,7,Kagada Rameshbhai Punabhai,IND,0,5th Pass,36,"Rs 30,500 ~ 30 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7326
2014,GUJARAT,BHAVNAGAR,8,Khadrani Asimbhai Pirbhai,IND,0,12th Pass,39,"Rs 1,51,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7322
2014,GUJARAT,BHAVNAGAR,9,Maru Manharbhai Valjibhai,IND,0,10th Pass,34,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7320
2014,GUJARAT,BHAVNAGAR,10,Mehta Yashvantray Odhavjibhai,IND,0,Post Graduate,77,"Rs 30,13,000 ~ 30 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4583
2014,GUJARAT,BHAVNAGAR,11,Pravinbhai Jinabhai Rathod,INC,0,10th Pass,43,"Rs 28,88,968 ~ 28 Lacs+","Rs 24,75,000 ~ 24 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4584
2014,GUJARAT,BHAVNAGAR,12,Rashidkhan Hasankhan Pathan,IND,0,8th Pass,47,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7323
2014,GUJARAT,BHAVNAGAR,13,Rathod Pravinsinh Chandrasinh,IND,0,10th Pass,27,"Rs 2,85,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7321
2014,GUJARAT,BHAVNAGAR,15,Vaghela Narendrabhai Savjibhai,IND,0,8th Pass,35,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7319
2014,GUJARAT,BHAVNAGAR,16,Vegad Nathabhai (vegadbhai Pragnachakshu Umedvar),IND,0,12th Pass,43,"Rs 80,000 ~ 80 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7327
