Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,GUJARAT,SABARKANTHA,6,Rathod Dipsinh Shankarsinh,BJP,0,8th Pass,62,Not Available,Not Available,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=6552
2014,GUJARAT,SABARKANTHA,1,Balusingh Somansingh Narve,IND,0,Post Graduate,70,"Rs 6,65,409 ~ 6 Lacs+","Rs 3,600 ~ 3 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6561
2014,GUJARAT,SABARKANTHA,2,Bhambhi Chandubhai Mulchandbhai,BSP,0,12th Pass,43,"Rs 8,58,000 ~ 8 Lacs+","Rs 4,00,000 ~ 4 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4905
2014,GUJARAT,SABARKANTHA,3,Patel Bhogilal Haribhai,Bharatiya National Janta Dal,0,8th Pass,45,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6556
2014,GUJARAT,SABARKANTHA,4,Patel Ishavarbhai Sakaraji,IND,0,12th Pass,47,"Rs 7,93,300 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6549
2014,GUJARAT,SABARKANTHA,5,Patel Purushottambhai Ambalal,IND,0,10th Pass,58,"Rs 39,90,000 ~ 39 Lacs+","Rs 1,25,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6564
2014,GUJARAT,SABARKANTHA,7,Shekh Arif Abdullatif,SP,0,Graduate,36,"Rs 13,98,500 ~ 13 Lacs+","Rs 10,51,000 ~ 10 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6557
2014,GUJARAT,SABARKANTHA,8,Solanki Chhaganbhai Kevalabhai,IND,0,Post Graduate,68,"Rs 28,05,000 ~ 28 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6550
2014,GUJARAT,SABARKANTHA,9,Vaghela Shankersinh,INC,0,Post Graduate,74,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6551
2014,GUJARAT,SABARKANTHA,10,Velani Shantilal Karamshih,IND,0,5th Pass,51,"Rs 54,69,370 ~ 54 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6548
