Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,GUJARAT,SURENDRANAGAR,3,Fatepara Devajibhai Govindbhai,BJP,1,Literate,55,Not Available,Not Available,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=6575
2014,GUJARAT,SURENDRANAGAR,1,Bar Ajamalbhai Karmanbhai,Bahujan Mukti Party,3,10th Pass,36,"Rs 27,91,000 ~ 27 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6573
2014,GUJARAT,SURENDRANAGAR,2,Chavda Palabhai Nanjibhai,IND,0,Illiterate,55,"Rs 1,72,498 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7651
2014,GUJARAT,SURENDRANAGAR,4,Jethabhai Manjibhai Patel,AAP,0,5th Pass,58,"Rs 84,06,405 ~ 84 Lacs+","Rs 2,18,601 ~ 2 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6572
2014,GUJARAT,SURENDRANAGAR,5,Koli Patel Somabhai Gandalal,INC,0,5th Pass,73,"Rs 7,91,84,058 ~ 7 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7645
2014,GUJARAT,SURENDRANAGAR,6,Majethiya Samratbhai Jerambhai,Hindustan Janta Party,0,Literate,47,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6577
2014,GUJARAT,SURENDRANAGAR,7,Makwana Ukabhai Amrabhai,IND,0,Graduate Professional,48,"Rs 6,90,000 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6579
2014,GUJARAT,SURENDRANAGAR,8,Makwana Vasharambhai Karshanbhai,IND,0,Post Graduate,37,"Rs 1,29,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7649
2014,GUJARAT,SURENDRANAGAR,9,Mansinh Shivubha Zala,IND,0,5th Pass,34,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7648
2014,GUJARAT,SURENDRANAGAR,10,Parmar Minaxiben Vijaybhai,BSP,0,5th Pass,35,"Rs 2,38,278 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6574
2014,GUJARAT,SURENDRANAGAR,11,Parmar Prabhubhai Gokalbhai,IND,1,Graduate Professional,56,"Rs 44,64,629 ~ 44 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6582
2014,GUJARAT,SURENDRANAGAR,12,Parmar Vasharambhai Bavalbhai,IND,0,Literate,47,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7650
2014,GUJARAT,SURENDRANAGAR,13,Sankaliya Gangarambhai Tapubhai,IND,0,10th Pass,57,"Rs 52,75,000 ~ 52 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6578
2014,GUJARAT,SURENDRANAGAR,14,Sapara Vipulbhai Rameshbhai,IND,0,10th Pass,28,"Rs 76,500 ~ 76 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6581
2014,GUJARAT,SURENDRANAGAR,15,Vadaliya Kalubhai Malubhai,IND,0,8th Pass,61,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7647
2014,GUJARAT,SURENDRANAGAR,16,Vaghela Prakashbhai Bachubhai,IND,0,5th Pass,38,"Rs 27,000 ~ 27 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7646
2014,GUJARAT,SURENDRANAGAR,17,Vora Bhavanbhai Devajibhai,IND,0,10th Pass,43,"Rs 1,52,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6580
