Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,HARYANA,GURGAON,9,Inderjit Singh,BJP,0,Graduate Professional,64,Not Available,Not Available,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=1046
2014,HARYANA,GURGAON,1,Abdul Latif,IND,0,5th Pass,0,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=460
2014,HARYANA,GURGAON,2,Ahshan Ali,IND,0,Graduate,43,"Rs 20,90,000 ~ 20 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2081
2014,HARYANA,GURGAON,3,Akbar Kasmi,Rashtriya Ulama Council,0,Others,43,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2077
2014,HARYANA,GURGAON,4,Ashok Bhardwaj,National Janhit Congress (AB),0,Graduate Professional,51,"Rs 23,93,74,641 ~ 23 Crore+","Rs 37,90,167 ~ 37 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2078
2014,HARYANA,GURGAON,5,Dharampal,BSP,0,12th Pass,42,"Rs 1,69,90,111 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=458
2014,HARYANA,GURGAON,6,Dharampal Yadav,INC,0,Graduate,71,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=462
2014,HARYANA,GURGAON,7,Fauji Jai Kawar Tyagi Dixit,IND,0,8th Pass,59,"Rs 4,29,15,552 ~ 4 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=211
2014,HARYANA,GURGAON,8,Hemant Kumar Saini,Bahujan Mukti Party,0,10th Pass,41,"Rs 1,52,06,538 ~ 1 Crore+","Rs 10,08,079 ~ 10 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2080
2014,HARYANA,GURGAON,10,Karan Singh,IND,0,Graduate,39,"Rs 5,82,79,661 ~ 5 Crore+","Rs 27,35,214 ~ 27 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=210
2014,HARYANA,GURGAON,11,Kusheshwar Bhagat,IND,0,8th Pass,43,"Rs 1,81,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2084
2014,HARYANA,GURGAON,12,Mahender Jat,IND,0,Graduate Professional,41,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2086
2014,HARYANA,GURGAON,13,Manoj Yadav,IND,0,12th Pass,33,"Rs 32,98,000 ~ 32 Lacs+","Rs 14,50,000 ~ 14 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2085
2014,HARYANA,GURGAON,14,Mul Chand,IND,0,10th Pass,56,"Rs 3,33,92,000 ~ 3 Crore+","Rs 7,50,000 ~ 7 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=94
2014,HARYANA,GURGAON,15,Ombir Sharma,IND,0,10th Pass,37,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2083
2014,HARYANA,GURGAON,16,Rajeev Yadav,IND,0,Post Graduate,38,"Rs 39,63,909 ~ 39 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2087
2014,HARYANA,GURGAON,17,Rajesh,IND,0,10th Pass,43,"Rs 3,64,29,409 ~ 3 Crore+","Rs 8,80,000 ~ 8 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2088
2014,HARYANA,GURGAON,18,Surinder Kumar Khullar,IND,0,Graduate,61,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2089
2014,HARYANA,GURGAON,19,Umed Singh,RASHTRIYA MORCHA PARTY,0,Others,27,"Rs 30,500 ~ 30 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2079
2014,HARYANA,GURGAON,20,Usha Rani Verma,IND,0,Post Graduate,35,"Rs 58,21,000 ~ 58 Lacs+","Rs 9,17,021 ~ 9 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2082
2014,HARYANA,GURGAON,21,Yogendra Singh Yadav,AAP,0,Post Graduate,50,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=459
2014,HARYANA,GURGAON,22,Zakir Hussain,INLD,0,Graduate Professional,52,"Rs 8,10,39,887 ~ 8 Crore+","Rs 7,89,903 ~ 7 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=461
