Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,JHARKHAND,DUMKA,9,Shibu Soren,JMM,0,10th Pass,68,Not Available,Not Available,Yes
2014,JHARKHAND,DUMKA,1,Babu Lal Soren,AITC,0,Literate,57,"Rs 5,75,800 ~ 5 Lacs+",Rs 0 ~,No
2014,JHARKHAND,DUMKA,2,Babulal Marandi,JVM(P),0,Graduate,56,"Rs 69,74,656 ~ 69 Lacs+",Rs 0 ~,No
2014,JHARKHAND,DUMKA,3,Baghrai Soren,IND,0,Graduate Professional,59,Not Available,Not Available,No
2014,JHARKHAND,DUMKA,4,Bitiya Manjhi,CPI(ML)L,0,10th Pass,40,"Rs 12,14,500 ~ 12 Lacs+",Rs 0 ~,No
2014,JHARKHAND,DUMKA,5,Chhaya Kole,CPI,0,8th Pass,31,"Rs 30,61,595 ~ 30 Lacs+","Rs 7,00,000 ~ 7 Lacs+",No
2014,JHARKHAND,DUMKA,6,Joshil Murmu,IND,0,Graduate,32,Not Available,Not Available,No
2014,JHARKHAND,DUMKA,7,Pulis Hembrom,IND,0,Literate,35,"Rs 12,27,400 ~ 12 Lacs+",Rs 0 ~,No
2014,JHARKHAND,DUMKA,8,Sahadeo Soren,AAP,0,Post Graduate,64,"Rs 1,09,77,580 ~ 1 Crore+",Rs 0 ~,No
2014,JHARKHAND,DUMKA,10,Shrilal Kisku,IND,0,Graduate Professional,55,"Rs 30,50,000 ~ 30 Lacs+","Rs 82,000 ~ 82 Thou+",No
2014,JHARKHAND,DUMKA,11,Sokol Hansda,BSP,0,10th Pass,31,"Rs 18,34,000 ~ 18 Lacs+",Rs 0 ~,No
2014,JHARKHAND,DUMKA,12,Stephen Besra,Jharkhand Disom Party,0,10th Pass,36,Not Available,Not Available,No
2014,JHARKHAND,DUMKA,13,Sunil Soren,BJP,1,12th Pass,35,"Rs 29,44,200 ~ 29 Lacs+",Rs 0 ~,No
2014,JHARKHAND,DUMKA,14,Uma Nath Kole,IND,0,10th Pass,56,"Rs 3,50,527 ~ 3 Lacs+",Rs 0 ~,No
