Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,KARNATAKA,CHITRADURGA,1,B.n.chandrappa,INC,0,Post Graduate,58,"Rs 4,83,03,759 ~ 4 Crore+","Rs 1,38,00,000 ~ 1 Crore+",Yes
2014,KARNATAKA,CHITRADURGA,2,Ganesha,IND,0,Not Given,53,"Rs 1,15,500 ~ 1 Lacs+",Rs 0 ~,No
2014,KARNATAKA,CHITRADURGA,3,Gullihatty. D. Shekhar,JD(S),1,Graduate,45,Not Available,Not Available,No
2014,KARNATAKA,CHITRADURGA,4,H. Siddagangappa,Ambedkar National Congress,0,12th Pass,47,"Rs 2,09,000 ~ 2 Lacs+","Rs 11,50,000 ~ 11 Lacs+",No
2014,KARNATAKA,CHITRADURGA,5,Janardhana Swamy,BJP,0,Post Graduate,46,"Rs 1,92,10,602 ~ 1 Crore+",Rs 0 ~,No
2014,KARNATAKA,CHITRADURGA,6,M. Kumbhaiah,JD(U),0,Graduate Professional,56,Not Available,Not Available,No
2014,KARNATAKA,CHITRADURGA,7,Mohana Dasari,AAP,0,Graduate,31,"Rs 15,49,000 ~ 15 Lacs+","Rs 6,35,38,863 ~ 6 Crore+",No
2014,KARNATAKA,CHITRADURGA,8,N.s. Manjunatha Nerenahal,IND,0,10th Pass,54,"Rs 4,50,000 ~ 4 Lacs+",Rs 0 ~,No
2014,KARNATAKA,CHITRADURGA,9,Rajagiri T.d,BSP,3,Post Graduate,54,Not Available,Not Available,No
2014,KARNATAKA,CHITRADURGA,10,S. Meetyanaik,SP,0,Graduate,43,"Rs 8,90,000 ~ 8 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No
2014,KARNATAKA,CHITRADURGA,11,Sri Basavanagideva Sharanaru,IND,0,Post Graduate,39,"Rs 4,89,561 ~ 4 Lacs+",Rs 0 ~,No
2014,KARNATAKA,CHITRADURGA,12,T. Dayananda,IND,0,5th Pass,34,Not Available,Not Available,No
2014,KARNATAKA,CHITRADURGA,13,T.bhavana,IND,0,10th Pass,36,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,No
2014,KARNATAKA,CHITRADURGA,14,T.somesh,IND,0,5th Pass,42,"Rs 54,88,000 ~ 54 Lacs+",Rs 0 ~,No
