Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,KERALA,THRISSUR,2,C N Jayadevan,CPI,3,Post Graduate,63,"Rs 2,00,41,642 ~ 2 Crore+","Rs 2,94,000 ~ 2 Lacs+",Yes
2014,KERALA,THRISSUR,1,Adv. A. Jayaram,BSP,0,Graduate Professional,48,"Rs 2,47,02,613 ~ 2 Crore+","Rs 6,28,000 ~ 6 Lacs+",No
2014,KERALA,THRISSUR,3,Dhanapalan,INC,1,Graduate,64,Not Available,Not Available,No
2014,KERALA,THRISSUR,4,Haji Moideen Shah,JD(U),0,Others,64,"Rs 21,00,000 ~ 21 Lacs+",Rs 0 ~,No
2014,KERALA,THRISSUR,5,Jasminsha,IND,2,Others,29,"Rs 5,69,648 ~ 5 Lacs+",Rs 0 ~,No
2014,KERALA,THRISSUR,6,Jiju Cheenikkal,IND,0,10th Pass,42,Not Available,Not Available,No
2014,KERALA,THRISSUR,7,K.p. Sreesan,BJP,1,12th Pass,60,"Rs 46,53,270 ~ 46 Lacs+",Rs 0 ~,No
2014,KERALA,THRISSUR,8,K.sivaraman,CPI(ML) Red star,1,10th Pass,64,"Rs 36,58,000 ~ 36 Lacs+",Rs 0 ~,No
2014,KERALA,THRISSUR,9,M. N. Kutty,IND,0,10th Pass,64,Not Available,Not Available,No
2014,KERALA,THRISSUR,10,Maniyangattil Sukumaran,IND,0,Literate,61,"Rs 2,81,000 ~ 2 Lacs+",Rs 0 ~,No
2014,KERALA,THRISSUR,11,Sarah Joseph,AAP,0,Post Graduate,67,"Rs 41,22,398 ~ 41 Lacs+",Rs 0 ~,No
2014,KERALA,THRISSUR,12,Soman Pillai,Indian Gandhiyan Party,0,Not Given,63,Not Available,Not Available,No
2014,KERALA,THRISSUR,13,Sufeera K. P.,SDPI,1,8th Pass,37,"Rs 1,04,500 ~ 1 Lacs+","Rs 36,000 ~ 36 Thou+",No
2014,KERALA,THRISSUR,14,T. L. Santhosh,IND,6,Not Given,53,"Rs 75,97,000 ~ 75 Lacs+","Rs 5,30,000 ~ 5 Lacs+",No
