Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,MADHYA PRADESH,GUNA,5,Jyotiraditya M. Scindia,INC,0,Post Graduate,43,"Rs 33,08,88,751 ~ 33 Crore+","Rs 7,95,000 ~ 7 Lacs+",Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=2933
2014,MADHYA PRADESH,GUNA,1,Anwar Khan,IND,0,10th Pass,47,"Rs 77,000 ~ 77 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2944
2014,MADHYA PRADESH,GUNA,2,Chandrapal Singh Tomar,IND,0,Post Graduate,46,"Rs 67,30,000 ~ 67 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2934
2014,MADHYA PRADESH,GUNA,3,Girraj Yadav,IND,6,10th Pass,30,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2941
2014,MADHYA PRADESH,GUNA,4,Jaibhansingh Pawaiya,BJP,1,Others,58,"Rs 88,60,522 ~ 88 Lacs+","Rs 72,000 ~ 72 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2938
2014,MADHYA PRADESH,GUNA,6,Lakhan Singh Baghel,BSP,0,Graduate,51,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2935
2014,MADHYA PRADESH,GUNA,7,Lalli Ram Rai,IND,0,Illiterate,45,"Rs 1,31,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2943
2014,MADHYA PRADESH,GUNA,8,Mahendra Kumar,IND,1,Graduate,55,"Rs 17,60,000 ~ 17 Lacs+","Rs 3,20,000 ~ 3 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2940
2014,MADHYA PRADESH,GUNA,9,Nand Kishore Tyagi,IND,0,8th Pass,40,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2942
2014,MADHYA PRADESH,GUNA,10,Narayanrao Gupchup,IND,0,8th Pass,62,"Rs 40,55,500 ~ 40 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2939
2014,MADHYA PRADESH,GUNA,11,Shailendra Singh Kushwah,AAP,0,Graduate,40,"Rs 36,26,314 ~ 36 Lacs+","Rs 20,75,000 ~ 20 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2937
