Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,MADHYA PRADESH,MANDLA,3,Faggan Singh Kulaste,BJP,2,Post Graduate,54,Not Available,Not Available,Yes
2014,MADHYA PRADESH,MANDLA,1,Anuj Ganga Singh Patta,GGP,0,Graduate,44,"Rs 44,80,097 ~ 44 Lacs+","Rs 22,20,000 ~ 22 Lacs+",No
2014,MADHYA PRADESH,MANDLA,2,Baishakhoo Maravi,Bhartiya Satya Sangharsh Party,0,5th Pass,39,Nil,Rs 0 ~,No
2014,MADHYA PRADESH,MANDLA,4,Ghanshyam Kudape,IND,0,10th Pass,39,"Rs 13,51,051 ~ 13 Lacs+",Rs 0 ~,No
2014,MADHYA PRADESH,MANDLA,5,Inder Singh Uikey,Ambedkarite Party of India,0,12th Pass,47,"Rs 1,95,000 ~ 1 Lacs+",Rs 0 ~,No
2014,MADHYA PRADESH,MANDLA,6,Khuman Singh Armo,AAP,0,12th Pass,69,Not Available,Not Available,No
2014,MADHYA PRADESH,MANDLA,7,Mahatalal Barkade,NPP,0,8th Pass,38,"Rs 2,08,000 ~ 2 Lacs+",Rs 0 ~,No
2014,MADHYA PRADESH,MANDLA,8,Omkar Singh Markam,INC,0,Post Graduate,37,"Rs 96,18,675 ~ 96 Lacs+",Rs 0 ~,No
2014,MADHYA PRADESH,MANDLA,9,Phool Singh Dhurwey,Chhattisgarh Swabhiman Manch,3,Graduate,43,Not Available,Not Available,No
2014,MADHYA PRADESH,MANDLA,10,Shanbhulal,BSP,0,10th Pass,57,"Rs 12,75,000 ~ 12 Lacs+",Rs 0 ~,No
