Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,MADHYA PRADESH,SIDHI,11,Riti Pathak,BJP,0,Post Graduate,36,"Rs 3,34,16,561 ~ 3 Crore+",Rs 0 ~,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=741
2014,MADHYA PRADESH,SIDHI,1,Asha Singh,Rashtriya Apna Dal,0,10th Pass,36,"Rs 67,500 ~ 67 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1545
2014,MADHYA PRADESH,SIDHI,2,Bhagawati Charan Pandey(neelu),IND,0,Graduate,36,"Rs 34,25,500 ~ 34 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1553
2014,MADHYA PRADESH,SIDHI,3,Brahmanand Pratap Singh,IND,0,Graduate,25,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1552
2014,MADHYA PRADESH,SIDHI,4,Indrajeet Kumar,INC,0,Graduate,68,"Rs 6,26,90,091 ~ 6 Crore+","Rs 24,94,561 ~ 24 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=740
2014,MADHYA PRADESH,SIDHI,5,Lal Bahadur Singh,Samata Samadhan Party,0,10th Pass,63,"Rs 3,12,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1548
2014,MADHYA PRADESH,SIDHI,6,Mohd. Jahangeer Ansari,IND,0,Not Given,43,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1551
2014,MADHYA PRADESH,SIDHI,7,Pankaj Singh Patel,AAP,0,Post Graduate,28,"Rs 1,44,766 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=742
2014,MADHYA PRADESH,SIDHI,8,Puspendra Singh,GGP,1,Graduate Professional,45,"Rs 1,04,53,934 ~ 1 Crore+","Rs 20,20,000 ~ 20 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1547
2014,MADHYA PRADESH,SIDHI,9,Ramakant Pandey Malaihna,IND,0,Post Graduate,68,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1554
2014,MADHYA PRADESH,SIDHI,10,Ramashankar Shahwal,BSP,0,Post Graduate,36,"Rs 97,43,656 ~ 97 Lacs+","Rs 10,92,000 ~ 10 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=743
2014,MADHYA PRADESH,SIDHI,12,Sanat Kumar Tripathi,Bhartiya Shakti Chetna Party,1,12th Pass,48,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1549
2014,MADHYA PRADESH,SIDHI,13,Sunil Soni,Bahujan Sangharshh Dal,0,12th Pass,37,"Rs 2,81,653 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1550
2014,MADHYA PRADESH,SIDHI,14,Urmila,CPI(ML) Red star,0,Graduate,36,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1546
