Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,MADHYA PRADESH,VIDISHA,12,Sushma Swaraj,BJP,0,Graduate Professional,62,Not Available,Not Available,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=4818
2014,MADHYA PRADESH,VIDISHA,1,Amar Singh Patel,BSP,0,12th Pass,46,"Rs 3,11,829 ~ 3 Lacs+","Rs 27,310 ~ 27 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4215
2014,MADHYA PRADESH,VIDISHA,2,Babu Lal,Samata Samadhan Party,0,8th Pass,38,"Rs 2,60,700 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4819
2014,MADHYA PRADESH,VIDISHA,3,Chandresh Singh,IND,0,10th Pass,39,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5230
2014,MADHYA PRADESH,VIDISHA,4,Engineear Bhagwat Singh Rajput,AAP,0,Others,57,"Rs 25,13,476 ~ 25 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4213
2014,MADHYA PRADESH,VIDISHA,5,Ganesh Rajak,Samata Party,0,12th Pass,33,"Rs 5,60,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4820
2014,MADHYA PRADESH,VIDISHA,6,Kamlesh Sallam,GGP,0,5th Pass,42,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4823
2014,MADHYA PRADESH,VIDISHA,7,Lakshman Singh,INC,0,Graduate,59,"Rs 8,37,83,624 ~ 8 Crore+","Rs 1,70,68,702 ~ 1 Crore+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5232
2014,MADHYA PRADESH,VIDISHA,8,Manoj Kumar Yadav,SP,0,Post Graduate,33,"Rs 35,45,837 ~ 35 Lacs+","Rs 7,40,000 ~ 7 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4825
2014,MADHYA PRADESH,VIDISHA,9,Narmada Prashad Ahirwar,Bahujan Mukti Party,0,5th Pass,60,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4822
2014,MADHYA PRADESH,VIDISHA,10,Ramdayal Kori,IND,0,10th Pass,46,"Rs 11,17,500 ~ 11 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4821
2014,MADHYA PRADESH,VIDISHA,11,Shoiab Khan,Prajatantrik Samadhan Party,0,12th Pass,29,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4824
