Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,MAHARASHTRA,BEED,16,Munde Gopinathrao Pandurang,BJP,3,Graduate Professional,66,"Rs 38,00,72,890 ~ 38 Crore+","Rs 33,57,29,817 ~ 33 Crore+",Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=3849
2014,MAHARASHTRA,BEED,1,Aghav Jayprakash Sitaram,IND,3,10th Pass,33,"Rs 1,51,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3873
2014,MAHARASHTRA,BEED,2,Arjun Hanmanta Nimbalkar,IND,0,10th Pass,44,"Rs 2,25,000 ~ 2 Lacs+","Rs 19,000 ~ 19 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3869
2014,MAHARASHTRA,BEED,3,Ashok Bhagoji Thorat,IND,0,Not Given,32,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3872
2014,MAHARASHTRA,BEED,4,Ashok Dhondiba Sonwane,IND,0,8th Pass,53,Nil,Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3871
2014,MAHARASHTRA,BEED,5,Avinash Namdev Wankhede,IND,2,Graduate Professional,40,"Rs 7,45,000 ~ 7 Lacs+","Rs 3,09,000 ~ 3 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3870
2014,MAHARASHTRA,BEED,6,Bhagwat Harihar Taware,IND,0,Graduate,30,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3881
2014,MAHARASHTRA,BEED,7,Dhas Suresh Ramchandra,NCP,2,Graduate,44,"Rs 7,44,08,903 ~ 7 Crore+","Rs 1,04,90,592 ~ 1 Crore+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3848
2014,MAHARASHTRA,BEED,8,Dongare Milind Kashinath,Prabuddha Republican Party,1,Graduate Professional,53,"Rs 3,03,93,000 ~ 3 Crore+","Rs 3,00,000 ~ 3 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3852
2014,MAHARASHTRA,BEED,9,Dr. Owhal Jitendra Mahadev,IND,0,Graduate Professional,30,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3875
