Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,MAHARASHTRA,DINDORI,2,Chavan Harishchandra Deoram,BJP,1,Graduate,62,"Rs 3,72,40,147 ~ 3 Crore+","Rs 8,81,137 ~ 8 Lacs+",Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=5822
2014,MAHARASHTRA,DINDORI,1,Ajit Bhika Pawar,IND,0,Graduate,30,"Rs 95,500 ~ 95 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5829
2014,MAHARASHTRA,DINDORI,3,Dr. Bharati Pravin Pawar,NCP,0,Doctorate,35,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5823
2014,MAHARASHTRA,DINDORI,4,Gaikwad Abhijeet Kalyanrao,IND,0,Graduate Professional,32,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5831
2014,MAHARASHTRA,DINDORI,5,Kailas Sakharam More,IND,0,10th Pass,65,"Rs 23,20,084 ~ 23 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5830
2014,MAHARASHTRA,DINDORI,6,Mali Sharad Sahebrao,BSP,0,12th Pass,32,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5824
2014,MAHARASHTRA,DINDORI,7,Mate Bharat Kisan,Bahujan Mukti Party,0,Post Graduate,39,"Rs 49,20,887 ~ 49 Lacs+","Rs 10,01,402 ~ 10 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5827
2014,MAHARASHTRA,DINDORI,8,Prabhat Chindhu Sonawane,Bharipa Bahujan Mahasangha,0,Post Graduate,44,"Rs 12,80,000 ~ 12 Lacs+","Rs 55,000 ~ 55 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5826
2014,MAHARASHTRA,DINDORI,9,Prof. Dnyaneshwar Damu Mali,AAP,0,Post Graduate,29,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5828
2014,MAHARASHTRA,DINDORI,10,Waghere Hemant Motiram,CPI(M),3,Graduate,41,"Rs 8,30,380 ~ 8 Lacs+","Rs 4,64,940 ~ 4 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5825
