Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,MAHARASHTRA,KALYAN,6,Dr.shrikant Eknath Shinde,SHS,0,Graduate Professional,27,Not Available,Not Available,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=5869
2014,MAHARASHTRA,KALYAN,1,Anand Prakash Pranjape,NCP,4,Post Graduate,40,"Rs 3,59,20,212 ~ 3 Crore+","Rs 33,79,297 ~ 33 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5879
2014,MAHARASHTRA,KALYAN,2,Anil Motiram More,Bahujan Mukti Party,0,Graduate Professional,52,"Rs 28,28,101 ~ 28 Lacs+","Rs 1,58,609 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5884
2014,MAHARASHTRA,KALYAN,3,Asmita Pushkar Puranik,IND,0,12th Pass,35,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5883
2014,MAHARASHTRA,KALYAN,4,Belamkar Milind Chandrakant,Lok Bharati,0,10th Pass,50,"Rs 1,32,38,000 ~ 1 Crore+","Rs 40,00,000 ~ 40 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5882
2014,MAHARASHTRA,KALYAN,5,Dilip Prabhakar Aloni,IND,1,Post Graduate,58,"Rs 76,00,000 ~ 76 Lacs+","Rs 1,98,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5890
2014,MAHARASHTRA,KALYAN,7,Hameed Mohammad Gulamhussain Sayyed,SP,0,8th Pass,40,"Rs 7,61,38,101 ~ 7 Crore+","Rs 1,52,07,081 ~ 1 Crore+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5886
2014,MAHARASHTRA,KALYAN,8,Khan Mohammed Ahmed,IND,5,10th Pass,48,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5881
2014,MAHARASHTRA,KALYAN,9,Kiratkar Dayanand Tulshiram,BSP,1,12th Pass,52,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5876
2014,MAHARASHTRA,KALYAN,10,Mote Chandrakant Rambhaji,IND,0,10th Pass,52,"Rs 55,36,065 ~ 55 Lacs+","Rs 3,25,500 ~ 3 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5891
2014,MAHARASHTRA,KALYAN,11,Naresh Arvind Thakur,AAP,0,Post Graduate,29,"Rs 31,57,123 ~ 31 Lacs+","Rs 6,270 ~ 6 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5880
2014,MAHARASHTRA,KALYAN,12,Patil Pramod Ratan,MNS,0,10th Pass,39,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5870
2014,MAHARASHTRA,KALYAN,13,Prakash Shamrao Telgote,IND,0,10th Pass,43,"Rs 6,12,819 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5877
2014,MAHARASHTRA,KALYAN,14,Rasal Shashikant Dada,IND,0,8th Pass,39,"Rs 70,000 ~ 70 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5874
2014,MAHARASHTRA,KALYAN,15,Shamu Ramu Bhosale,Bharipa Bahujan Mahasangha,0,10th Pass,61,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5894
2014,MAHARASHTRA,KALYAN,16,Shiva Krishnamurthy Iyar,IND,0,Post Graduate,51,"Rs 1,75,57,000 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5872
2014,MAHARASHTRA,KALYAN,17,Sonkamble Sulochana Dharmendra,Republican Bahujan Sena,1,Literate,47,"Rs 12,89,000 ~ 12 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5871
2014,MAHARASHTRA,KALYAN,18,Sudhakar Narayan Shinde,Ambedkarite Party of India,1,Post Graduate,60,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5875
