Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,MAHARASHTRA,NANDED,18,Shri Chavan Ashokrao Shankarrao,INC,0,Post Graduate,55,Not Available,Not Available,Yes
2014,MAHARASHTRA,NANDED,1,Adv. Deelip Kulkarni,IND,0,Graduate Professional,46,"Rs 29,90,000 ~ 29 Lacs+","Rs 50,000 ~ 50 Thou+",No
2014,MAHARASHTRA,NANDED,2,Altaf Ahamad Iqbal Ahmad,IUML,0,Graduate,48,"Rs 44,62,742 ~ 44 Lacs+","Rs 5,71,000 ~ 5 Lacs+",No
2014,MAHARASHTRA,NANDED,3,Bochare Shankar Mahadji,IND,0,10th Pass,65,Not Available,Not Available,No
2014,MAHARASHTRA,NANDED,4,Feroz Khan Gazi,IND,0,12th Pass,49,"Rs 34,82,000 ~ 34 Lacs+",Rs 0 ~,No
2014,MAHARASHTRA,NANDED,5,Ghunnar Prakash Vitthalrao,IND,0,12th Pass,55,"Rs 1,05,72,325 ~ 1 Crore+","Rs 3,00,000 ~ 3 Lacs+",No
2014,MAHARASHTRA,NANDED,6,Granthi Narendrasingh Anmolsingh,AAP,0,Graduate,43,Not Available,Not Available,No
2014,MAHARASHTRA,NANDED,7,Hanumante Dhondopant Nagorao,IND,0,Post Graduate,42,"Rs 10,75,000 ~ 10 Lacs+","Rs 26,000 ~ 26 Thou+",No
2014,MAHARASHTRA,NANDED,8,Hanumante Vijay Chandrao,IND,0,8th Pass,40,"Rs 86,000 ~ 86 Thou+",Rs 0 ~,No
2014,MAHARASHTRA,NANDED,9,Mohd. Maroof Ab. Rauf,IND,0,12th Pass,33,Not Available,Not Available,No
2014,MAHARASHTRA,NANDED,10,Pathan Jafar Ali Kha Md. Ali Kha,IND,0,12th Pass,72,"Rs 36,42,000 ~ 36 Lacs+",Rs 0 ~,No
2014,MAHARASHTRA,NANDED,11,Pawar (patil) Digambar Bapuji,BJP,0,12th Pass,62,"Rs 4,30,54,709 ~ 4 Crore+","Rs 15,38,191 ~ 15 Lacs+",No
2014,MAHARASHTRA,NANDED,12,Rajratna Ambedkar,Bahujan Mukti Party,0,Post Graduate,31,Not Available,Not Available,No
2014,MAHARASHTRA,NANDED,13,Ramchandra Gangaram Bharande,IND,0,Post Graduate,37,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~,No
2014,MAHARASHTRA,NANDED,14,Ramchandra Gyanoba Sawant,Bharipa Bahujan Mahasangha,0,10th Pass,61,"Rs 1,76,000 ~ 1 Lacs+",Rs 0 ~,No
2014,MAHARASHTRA,NANDED,15,Sayyad Tanvir Sayyad Hamja,Majlis Bachao Tahreek,0,8th Pass,31,Not Available,Not Available,No
2014,MAHARASHTRA,NANDED,16,Shaikh Afajaloddin Azimoddin,Lok Bharati,0,Not Given,36,"Rs 16,50,000 ~ 16 Lacs+",Rs 0 ~,No
2014,MAHARASHTRA,NANDED,17,Shinde Balaji Vishwanathrao,SP,0,Graduate Professional,54,"Rs 1,84,06,800 ~ 1 Crore+","Rs 32,37,539 ~ 32 Lacs+",No
2014,MAHARASHTRA,NANDED,19,Sontakke Laxman Kishan,IND,0,12th Pass,52,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,No
2014,MAHARASHTRA,NANDED,20,Suryawanshi Dattaram Balaji,IND,0,8th Pass,47,"Rs 72,63,132 ~ 72 Lacs+","Rs 8,41,037 ~ 8 Lacs+",No
2014,MAHARASHTRA,NANDED,21,Vaidy Hansraj Dadarao,BSP,0,Graduate Professional,66,Not Available,Not Available,No
2014,MAHARASHTRA,NANDED,22,Venugopal Shastri Tumuluri,IND,0,Graduate Professional,40,"Rs 58,10,377 ~ 58 Lacs+","Rs 1,80,068 ~ 1 Lacs+",No
2014,MAHARASHTRA,NANDED,23,Wadje Panjab Shrihari,IND,7,Graduate,52,"Rs 6,54,25,728 ~ 6 Crore+","Rs 1,74,01,655 ~ 1 Crore+",No
