Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,MAHARASHTRA,RAVER,12,Khadase Raksha Nikhil,BJP,0,Graduate,26,Not Available,Not Available,Yes
2014,MAHARASHTRA,RAVER,1,Ashok Tryambak Ingale,IND,0,5th Pass,46,"Rs 3,91,000 ~ 3 Lacs+",Rs 0 ~,No
2014,MAHARASHTRA,RAVER,2,Bhande Dashrath Motiram,BSP,1,Post Graduate,64,"Rs 3,48,10,892 ~ 3 Crore+",Rs 0 ~,No
2014,MAHARASHTRA,RAVER,3,Chavhan Mohan Shamrao,IND,0,Post Graduate,42,Not Available,Not Available,No
2014,MAHARASHTRA,RAVER,4,D.d.wani,IND,1,10th Pass,49,"Rs 7,71,968 ~ 7 Lacs+","Rs 10,000 ~ 10 Thou+",No
2014,MAHARASHTRA,RAVER,5,Dnyaneshwar Vitthal Amale,AIFB,1,Graduate,31,"Rs 11,15,000 ~ 11 Lacs+","Rs 7,83,000 ~ 7 Lacs+",No
2014,MAHARASHTRA,RAVER,6,Dr. Ulhas Vasudeo Patil,IND,1,Doctorate,53,Not Available,Not Available,No
2014,MAHARASHTRA,RAVER,7,Gaikwad Bhagwan Madhav,Prabuddha Republican Party,0,Literate,46,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No
2014,MAHARASHTRA,RAVER,8,Govinda Narayan Gunjal,IND,0,Graduate Professional,47,"Rs 4,84,400 ~ 4 Lacs+",Rs 0 ~,No
2014,MAHARASHTRA,RAVER,9,Jain Manish Ishwarlal,NCP,7,Graduate,45,Not Available,Not Available,No
2014,MAHARASHTRA,RAVER,10,Jain Manish Satish,IND,1,10th Pass,39,"Rs 2,45,68,000 ~ 2 Crore+","Rs 6,98,490 ~ 6 Lacs+",No
2014,MAHARASHTRA,RAVER,11,Kadri Saniya Saiyed Ali,IND,3,Others,25,"Rs 55,00,000 ~ 55 Lacs+","Rs 20,00,000 ~ 20 Lacs+",No
2014,MAHARASHTRA,RAVER,13,Khatik Mohammad Haroon Abdul Kadir,SP,2,Post Graduate,36,"Rs 22,18,302 ~ 22 Lacs+","Rs 4,75,000 ~ 4 Lacs+",No
2014,MAHARASHTRA,RAVER,14,Manyar Shai. Sajid Shai. Kadar,Minorities Democratic Party,0,Graduate,26,"Rs 42,000 ~ 42 Thou+",Rs 0 ~,No
2014,MAHARASHTRA,RAVER,15,Rajeev Satyendra Sharma,AAP,0,Graduate,47,Not Available,Not Available,No
2014,MAHARASHTRA,RAVER,16,Shaikh Mo. Asgar Sakhawat,RPI,1,12th Pass,0,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No
2014,MAHARASHTRA,RAVER,17,Shaikh Shakir,IND,0,Graduate Professional,32,Rs 500 ~ 5 Hund+,Rs 0 ~,No
2014,MAHARASHTRA,RAVER,18,Shaikhh Shaherabi Jainoddin Shaikh,IND,0,5th Pass,27,Not Available,Not Available,No
2014,MAHARASHTRA,RAVER,19,Sonawane Vandana Shivaji,IND,0,Graduate,28,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,No
2014,MAHARASHTRA,RAVER,20,Suresh Hiraman Ingale,IND,0,Post Graduate,47,"Rs 3,90,000 ~ 3 Lacs+","Rs 1,15,000 ~ 1 Lacs+",No
2014,MAHARASHTRA,RAVER,21,Surwade Jairam Girdhar,IND,0,Post Graduate,65,Not Available,Not Available,No
2014,MAHARASHTRA,RAVER,22,Wamanrao Madhav Sasane,Bahujan Mukti Party,0,12th Pass,53,"Rs 11,75,71,244 ~ 11 Crore+","Rs 14,00,000 ~ 14 Lacs+",No
2014,MAHARASHTRA,RAVER,23,Zagadya Purmya Pawara,IND,1,Literate,42,"Rs 2,87,800 ~ 2 Lacs+",Rs 0 ~,No
