Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,MAHARASHTRA,SHIRDI,5,Lokhande Sadashiv Kisan,SHS,1,10th Pass,51,"Rs 3,81,76,143 ~ 3 Crore+","Rs 14,97,168 ~ 14 Lacs+",Yes
2014,MAHARASHTRA,SHIRDI,1,Adv. Mahendra Dadasaheb Shinde,BSP,0,Doctorate,34,"Rs 52,137 ~ 52 Thou+","Rs 90,000 ~ 90 Thou+",No
2014,MAHARASHTRA,SHIRDI,2,Balasaheb Dashrath Bagul,IND,0,Literate,43,"Rs 4,83,000 ~ 4 Lacs+",Rs 0 ~,No
2014,MAHARASHTRA,SHIRDI,3,Bhausaheb Rajaram Wakchaure,INC,1,Doctorate,64,Not Available,Not Available,No
2014,MAHARASHTRA,SHIRDI,4,Gholap Sandeep Bhaskar,IND,0,8th Pass,35,"Rs 1,93,600 ~ 1 Lacs+",Rs 0 ~,No
2014,MAHARASHTRA,SHIRDI,6,Nitin Navnath Udmale,AAP,0,Graduate,35,Not Available,Not Available,No
2014,MAHARASHTRA,SHIRDI,7,Pawar Vijay Banderao,The Lok Party of India,0,10th Pass,39,"Rs 1,10,000 ~ 1 Lacs+",Rs 0 ~,No
2014,MAHARASHTRA,SHIRDI,8,Raghunath Ramji Makasare,Bharipa Bahujan Mahasangha,0,Post Graduate,70,"Rs 21,32,555 ~ 21 Lacs+","Rs 2,89,000 ~ 2 Lacs+",No
2014,MAHARASHTRA,SHIRDI,9,Santosh Madhukar Roham,Bahujan Mukti Party,0,Graduate,41,Not Available,Not Available,No
2014,MAHARASHTRA,SHIRDI,10,Sarode Popat Rambhau,Lok Bharati,0,12th Pass,39,"Rs 2,72,400 ~ 2 Lacs+","Rs 2,50,000 ~ 2 Lacs+",No
2014,MAHARASHTRA,SHIRDI,11,Sayaji Shankar Kharat,IND,0,Post Graduate,56,"Rs 46,02,900 ~ 46 Lacs+","Rs 12,22,000 ~ 12 Lacs+",No
2014,MAHARASHTRA,SHIRDI,12,Shende Ravindra Vitthal,IND,0,8th Pass,32,Not Available,Not Available,No
2014,MAHARASHTRA,SHIRDI,13,Uddhavrao Balwant Gaikwad,IND,0,5th Pass,55,"Rs 2,00,900 ~ 2 Lacs+",Rs 0 ~,No
2014,MAHARASHTRA,SHIRDI,14,Wagh Gangadhar Radhaji,IND,0,10th Pass,65,"Rs 19,86,175 ~ 19 Lacs+",Rs 0 ~,No
