Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,10,Ramesh Bidhuri,BJP,4,Graduate Professional,52,"Rs 14,74,93,056 ~ 14 Crore+",Rs 0 ~,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=71
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,1,D K Chopra,IND,1,Graduate,68,"Rs 70,80,000 ~ 70 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1283
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,2,Devinder Kumar Sehrawat,AAP,0,Post Graduate,48,"Rs 2,32,37,892 ~ 2 Crore+","Rs 5,40,000 ~ 5 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=500
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,3,Dushmanta Kumar Giri,IND,1,Doctorate,54,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1294
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,4,Hafiz Mustaq,Jan Samanta Party,0,Illiterate,53,"Rs 4,30,000 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1284
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,5,Kiran Pal Singh,IND,0,8th Pass,63,"Rs 6,30,000 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1296
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,6,Mohan Kanuga,JKNPP,0,Post Graduate,66,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1291
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,7,Naresh Kumar,IND,0,Illiterate,50,"Rs 1,43,186 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1288
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,8,Ombir,Bharatiya Bahujan Party,0,12th Pass,51,"Rs 7,32,000 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1289
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,9,Rakesh Kumar,IND,0,10th Pass,42,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1292
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,11,Ramesh Kumar,INC,0,10th Pass,58,"Rs 17,23,14,296 ~ 17 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1018
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,12,Ruby Yadav,IND,0,Post Graduate,33,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1282
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,13,Sanjay Kumar Rai,BSP,1,12th Pass,47,"Rs 58,39,937 ~ 58 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=502
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,14,Shahid,IND,0,10th Pass,38,"Rs 53,05,000 ~ 53 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1281
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,15,Shri Chand Tanwar,CPI,0,8th Pass,68,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=501
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,16,Sreerupa Mitra Chaudhury,AITC,0,Post Graduate,49,"Rs 1,18,23,944 ~ 1 Crore+","Rs 37,88,624 ~ 37 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1293
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,17,Sumant Kumar,IND,1,Graduate,51,"Rs 2,61,72,006 ~ 2 Crore+","Rs 2,50,729 ~ 2 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1285
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,18,Sunil Kumar,IND,0,10th Pass,38,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1295
2014,NATIONAL CAPITAL TERRITORY OF DELHI,SOUTH_DELHI,19,Tej Pal Singh,IND,0,10th Pass,38,"Rs 27,55,320 ~ 27 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=1286
