Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,PUNJAB,JALANDHAR,17,Santokh Singh Chaudhary,INC,0,Graduate Professional,67,"Rs 10,40,40,531 ~ 10 Crore+","Rs 61,94,323 ~ 61 Lacs+",Yes
2014,PUNJAB,JALANDHAR,1,Ajay Kumar Bhagat,IND,0,12th Pass,42,"Rs 76,000 ~ 76 Thou+",Rs 0 ~,No
2014,PUNJAB,JALANDHAR,2,Amit Jassi,IND,0,Graduate,33,"Rs 3,77,801 ~ 3 Lacs+","Rs 10,000 ~ 10 Thou+",No
2014,PUNJAB,JALANDHAR,3,Darshan Nahar,IND,0,8th Pass,49,Not Available,Not Available,No
2014,PUNJAB,JALANDHAR,4,Dharminder,IND,1,Illiterate,46,"Rs 12,94,000 ~ 12 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No
2014,PUNJAB,JALANDHAR,5,Jagan Nath Bajwa,IND,0,5th Pass,53,"Rs 6,76,376 ~ 6 Lacs+","Rs 1,09,763 ~ 1 Lacs+",No
2014,PUNJAB,JALANDHAR,6,Jarnail Singh,Bharti Jan Suraksha Party,0,Graduate Professional,0,Not Available,Not Available,No
2014,PUNJAB,JALANDHAR,7,Jyoti Mann,AAP,0,Graduate,27,"Rs 1,52,000 ~ 1 Lacs+",Rs 0 ~,No
2014,PUNJAB,JALANDHAR,8,K.k. Sabharwal,IND,0,10th Pass,44,"Rs 5,70,508 ~ 5 Lacs+",Rs 0 ~,No
2014,PUNJAB,JALANDHAR,9,Kamal Thapar,IND,0,10th Pass,50,Not Available,Not Available,No
2014,PUNJAB,JALANDHAR,10,Kuldip Kumar,IND,0,10th Pass,46,Nil,Rs 0 ~,No
2014,PUNJAB,JALANDHAR,11,Love Kishor,IND,0,Literate,40,"Rs 48,450 ~ 48 Thou+",Rs 0 ~,No
2014,PUNJAB,JALANDHAR,12,Manjeet Kaur W/o Sukhdev Singh,IND,0,5th Pass,37,Not Available,Not Available,No
2014,PUNJAB,JALANDHAR,13,Manjit Kaur W/o Sukhwinder Singh,IND,0,Graduate,40,"Rs 25,82,974 ~ 25 Lacs+",Rs 0 ~,No
2014,PUNJAB,JALANDHAR,14,Nirmal Singh Bolina,IND,0,Post Graduate,72,"Rs 27,24,000 ~ 27 Lacs+","Rs 20,00,000 ~ 20 Lacs+",No
2014,PUNJAB,JALANDHAR,15,Paramjit Kumar,Bahujan Mukti Party,0,12th Pass,31,Not Available,Not Available,No
2014,PUNJAB,JALANDHAR,16,Pawan Kumar Tinu,SAD,0,Graduate,47,"Rs 2,82,85,754 ~ 2 Crore+","Rs 14,98,000 ~ 14 Lacs+",No
2014,PUNJAB,JALANDHAR,18,Subhash Goria,SHS,0,10th Pass,40,Not Available,Not Available,No
2014,PUNJAB,JALANDHAR,19,Sukhwinder Singh Kotli,BSP,0,10th Pass,49,"Rs 29,26,365 ~ 29 Lacs+","Rs 7,15,175 ~ 7 Lacs+",No
2014,PUNJAB,JALANDHAR,20,Tara Singh Gill,Bahujan Samaj Party (Ambedkar),0,5th Pass,48,"Rs 7,66,660 ~ 7 Lacs+","Rs 4,00,000 ~ 4 Lacs+",No
2014,PUNJAB,JALANDHAR,21,Tarsem Peter,IND,0,Graduate,49,Not Available,Not Available,No
2014,PUNJAB,JALANDHAR,22,Vijay Hans,Democratic Bharatiya Samaj Party,0,10th Pass,51,"Rs 6,20,000 ~ 6 Lacs+",Rs 0 ~,No
2014,PUNJAB,JALANDHAR,23,Vijay Kumar,IND,0,5th Pass,40,"Rs 32,820 ~ 32 Thou+",Rs 0 ~,No
2014,PUNJAB,JALANDHAR,24,Vivek,IND,0,10th Pass,34,Not Available,Not Available,No
