Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,RAJASTHAN,ALWAR,12,Mahant Chand Nath Yogi,BJP,0,Graduate,58,Not Available,Not Available,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=5070
2014,RAJASTHAN,ALWAR,1,Arun Kumar Roopak,Naya Daur Party,0,Others,29,"Rs 1,71,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5074
2014,RAJASTHAN,ALWAR,2,Azad Husain,BSP,0,12th Pass,50,"Rs 2,75,66,246 ~ 2 Crore+","Rs 21,25,000 ~ 21 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5071
2014,RAJASTHAN,ALWAR,3,Choudhary Nashrudeen,Socialist Party (India),0,Literate,82,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5083
2014,RAJASTHAN,ALWAR,4,Dashrath Kumar,Ambedkarite Party of India,0,Doctorate,39,"Rs 19,05,000 ~ 19 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5080
2014,RAJASTHAN,ALWAR,5,Hari Prasad,IND,0,Post Graduate,41,"Rs 7,07,938 ~ 7 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5077
2014,RAJASTHAN,ALWAR,6,Hari Singh Sharma,IND,0,8th Pass,41,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5084
2014,RAJASTHAN,ALWAR,7,Jagdish Prasad Bairwa,IND,0,10th Pass,33,"Rs 26,59,200 ~ 26 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5078
2014,RAJASTHAN,ALWAR,8,Jitendra Singh,INC,0,Graduate,42,"Rs 11,18,24,330 ~ 11 Crore+","Rs 47,81,367 ~ 47 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4219
2014,RAJASTHAN,ALWAR,9,Khaim Chand,Bharatiya Yuva Shakti,0,8th Pass,62,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5073
2014,RAJASTHAN,ALWAR,10,Khoob Raj Neeraj,Bahujan Mukti Party,1,12th Pass,48,"Rs 1,15,13,535 ~ 1 Crore+","Rs 7,00,000 ~ 7 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5085
2014,RAJASTHAN,ALWAR,11,Kishan Lal,IND,0,8th Pass,66,"Rs 30,61,599 ~ 30 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5086
2014,RAJASTHAN,ALWAR,13,Mangu Ram Sain,Akhil Bharatiya Congress Dal (Ambedkar),0,12th Pass,54,"Rs 72,000 ~ 72 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5075
2014,RAJASTHAN,ALWAR,14,Mursid Ahmed,AITC,0,Graduate,45,"Rs 6,39,86,428 ~ 6 Crore+","Rs 88,000 ~ 88 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4222
2014,RAJASTHAN,ALWAR,15,Nishar Ahmad,Jai Maha Bharath Party,0,Literate,51,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5076
2014,RAJASTHAN,ALWAR,16,Ramesh Panaval,IND,0,12th Pass,46,"Rs 16,000 ~ 16 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5082
2014,RAJASTHAN,ALWAR,17,Suresh Sharma,Jago Party,0,10th Pass,39,"Rs 2,75,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4218
2014,RAJASTHAN,ALWAR,18,Virendra Vidrohi,AAP,0,Doctorate,50,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4221
2014,RAJASTHAN,ALWAR,19,Virja Nand,SP,0,Graduate,62,"Rs 52,55,484 ~ 52 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4220
