Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,RAJASTHAN,CHURU,8,Rahul Kaswan,BJP,0,Graduate,37,"Rs 2,57,21,266 ~ 2 Crore+","Rs 53,86,104 ~ 53 Lacs+",Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=2312
2014,RAJASTHAN,CHURU,1,Abhinesh Maharshi,BSP,0,Post Graduate,51,"Rs 3,82,38,575 ~ 3 Crore+","Rs 41,30,000 ~ 41 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2316
2014,RAJASTHAN,CHURU,2,Ajay Kumar,IND,0,Post Graduate,37,"Rs 49,26,438 ~ 49 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2320
2014,RAJASTHAN,CHURU,3,Gordhan Sarswat,AITC,0,Literate,69,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2324
2014,RAJASTHAN,CHURU,4,Indrasingh Jat,CPI(M),0,Post Graduate,60,"Rs 85,43,953 ~ 85 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2315
2014,RAJASTHAN,CHURU,5,Krishan Kumar Saran,AAP,0,Graduate,53,"Rs 2,02,95,507 ~ 2 Crore+","Rs 39,00,000 ~ 39 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2313
2014,RAJASTHAN,CHURU,6,Mohammad Ali Khan,Bahujan Sangharshh Dal,0,Literate,47,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2323
2014,RAJASTHAN,CHURU,7,Pratap Singh,INC,0,Post Graduate,49,"Rs 1,22,82,074 ~ 1 Crore+","Rs 12,41,053 ~ 12 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2319
2014,RAJASTHAN,CHURU,9,Rajpal,IND,0,Post Graduate,27,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2321
2014,RAJASTHAN,CHURU,10,Salim Gujar,IND,0,Literate,56,"Rs 2,01,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2322
2014,RAJASTHAN,CHURU,11,Syopat Ram,Bharatiya Sant Mat Party,0,10th Pass,41,"Rs 2,02,400 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2318
2014,RAJASTHAN,CHURU,12,Toruram Meghwal,Bahujan Mukti Party,1,Literate,55,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=2317
