Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,RAJASTHAN,NAGAUR,4,C R Choudhary,BJP,0,Post Graduate,66,"Rs 1,79,21,949 ~ 1 Crore+",Rs 0 ~,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=3452
2014,RAJASTHAN,NAGAUR,1,Abdul Aziz,BSP,0,Graduate,63,"Rs 24,00,000 ~ 24 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3451
2014,RAJASTHAN,NAGAUR,2,Ayub Khan,SP,0,8th Pass,40,"Rs 65,79,000 ~ 65 Lacs+","Rs 1,00,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3454
2014,RAJASTHAN,NAGAUR,3,Bhanwar Singh Rathore,AITC,0,Graduate,58,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3456
2014,RAJASTHAN,NAGAUR,5,Chhoturam,IND,0,10th Pass,34,"Rs 8,37,000 ~ 8 Lacs+","Rs 2,75,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3459
2014,RAJASTHAN,NAGAUR,6,Dr Jyoti Mirdha,INC,0,Graduate Professional,41,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3453
2014,RAJASTHAN,NAGAUR,7,Hanuman Beniwal,IND,1,Graduate Professional,42,"Rs 33,09,739 ~ 33 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3462
2014,RAJASTHAN,NAGAUR,8,Hanumanram,AAP,0,Graduate Professional,59,"Rs 30,23,141 ~ 30 Lacs+","Rs 80,027 ~ 80 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3457
2014,RAJASTHAN,NAGAUR,9,Hariram,IND,0,8th Pass,74,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3463
2014,RAJASTHAN,NAGAUR,10,Hariram Mehrada,Bahujan Sangharshh Dal,0,Post Graduate,27,"Rs 4,80,500 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3458
2014,RAJASTHAN,NAGAUR,11,Mularam,IND,0,Literate,59,"Rs 34,70,000 ~ 34 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3460
2014,RAJASTHAN,NAGAUR,12,Nemichand,Aarakshan Virodhi Party,0,10th Pass,29,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3455
2014,RAJASTHAN,NAGAUR,13,Sunil,IND,0,8th Pass,31,"Rs 2,54,232 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3461
