Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,TAMIL NADU,CHIDAMBARAM,4,M.chandrakasi,AIADMK,0,Graduate,45,"Rs 72,43,646 ~ 72 Lacs+","Rs 20,20,472 ~ 20 Lacs+",Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=3958
2014,TAMIL NADU,CHIDAMBARAM,1,"Anandan Alias Kavignar Ananthamaalai, S",IND,0,12th Pass,36,"Rs 2,75,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6954
2014,TAMIL NADU,CHIDAMBARAM,2,"Chandragasan, N",IND,0,8th Pass,57,"Rs 5,25,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6956
2014,TAMIL NADU,CHIDAMBARAM,3,"Ezhumalai, V",ABHM,0,Literate,51,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6952
2014,TAMIL NADU,CHIDAMBARAM,5,"Parvathi, S",IND,0,Not Given,36,"Rs 2,10,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6959
2014,TAMIL NADU,CHIDAMBARAM,6,"Pazhanivel, P",IND,0,Others,43,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6958
2014,TAMIL NADU,CHIDAMBARAM,7,"Pushparaj, S",IND,0,8th Pass,31,"Rs 10,97,000 ~ 10 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6960
2014,TAMIL NADU,CHIDAMBARAM,8,Rajendran.k,BSP,0,10th Pass,49,"Rs 5,57,000 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6309
2014,TAMIL NADU,CHIDAMBARAM,9,"Rajkumar, S",IND,0,12th Pass,38,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6961
2014,TAMIL NADU,CHIDAMBARAM,10,"Sanmugam, A",IND,0,5th Pass,61,"Rs 17,31,000 ~ 17 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6955
2014,TAMIL NADU,CHIDAMBARAM,11,Senthamizhselvi,IND,0,5th Pass,51,"Rs 1,16,422 ~ 1 Lacs+","Rs 44,500 ~ 44 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4050
2014,TAMIL NADU,CHIDAMBARAM,12,Sudhamanirathinem,PMK,0,Post Graduate,42,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6953
2014,TAMIL NADU,CHIDAMBARAM,13,Thirumaavalavan,Viduthalal Chiruthaigal Katchi,3,Post Graduate,51,"Rs 91,95,241 ~ 91 Lacs+","Rs 16,27,119 ~ 16 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6308
2014,TAMIL NADU,CHIDAMBARAM,14,"Thirusangu, A",IND,0,5th Pass,43,"Rs 4,12,000 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6957
2014,TAMIL NADU,CHIDAMBARAM,15,Vallal Peruman,INC,0,Graduate Professional,64,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4051
