Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,TAMIL NADU,SIVAGANGA,19,Pr Senthilnathan,AIADMK,0,Graduate Professional,46,"Rs 4,90,50,835 ~ 4 Crore+","Rs 74,59,581 ~ 74 Lacs+",Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=3961
2014,TAMIL NADU,SIVAGANGA,1,A Nelson,IND,0,12th Pass,31,"Rs 37,322 ~ 37 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4337
2014,TAMIL NADU,SIVAGANGA,2,Al Sivagnanam,IND,0,5th Pass,47,"Rs 69,480 ~ 69 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4339
2014,TAMIL NADU,SIVAGANGA,3,Arimazham Thiyagi Subramanian Muthuraja M,IND,0,10th Pass,76,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7476
2014,TAMIL NADU,SIVAGANGA,4,Balakrishnan P,IND,0,5th Pass,60,"Rs 38,400 ~ 38 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7480
2014,TAMIL NADU,SIVAGANGA,5,Balu S,Tamil Nadu Makkal Congress,0,8th Pass,44,"Rs 3,23,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7472
2014,TAMIL NADU,SIVAGANGA,6,Dhurai Raaj Subha,DMK,0,Others,65,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7470
2014,TAMIL NADU,SIVAGANGA,7,Gunasekaran P,IND,0,10th Pass,53,Nil,Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7475
2014,TAMIL NADU,SIVAGANGA,8,H Raja,BJP,0,Graduate Professional,56,"Rs 93,13,714 ~ 93 Lacs+","Rs 20,94,707 ~ 20 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3960
2014,TAMIL NADU,SIVAGANGA,9,K.kalaimani,Makkal Manadu Katchi,0,8th Pass,57,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3838
2014,TAMIL NADU,SIVAGANGA,10,Karthikarajan T,IND,0,10th Pass,29,"Rs 6,03,600 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7474
2014,TAMIL NADU,SIVAGANGA,11,Karti P Chidambaram,INC,0,Graduate Professional,42,"Rs 59,66,85,048 ~ 59 Crore+","Rs 9,25,87,423 ~ 9 Crore+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7468
2014,TAMIL NADU,SIVAGANGA,12,Krishnan S,CPI,0,Graduate Professional,58,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7469
2014,TAMIL NADU,SIVAGANGA,13,Lenin M,IND,0,12th Pass,47,"Rs 1,48,120 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7485
2014,TAMIL NADU,SIVAGANGA,14,M.saravanan,IND,0,12th Pass,39,"Rs 38,70,000 ~ 38 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3837
2014,TAMIL NADU,SIVAGANGA,15,Megaraj Mallar,IND,0,8th Pass,28,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7482
2014,TAMIL NADU,SIVAGANGA,16,Murugan P,IND,1,12th Pass,42,"Rs 2,30,000 ~ 2 Lacs+","Rs 60,000 ~ 60 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7481
2014,TAMIL NADU,SIVAGANGA,17,Natchiappan Sp,IND,0,5th Pass,47,"Rs 51,000 ~ 51 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7478
2014,TAMIL NADU,SIVAGANGA,18,Palani S,IND,0,10th Pass,41,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7479
2014,TAMIL NADU,SIVAGANGA,20,Radhakrishnan A,IND,0,12th Pass,58,"Rs 5,11,000 ~ 5 Lacs+","Rs 3,35,000 ~ 3 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7483
2014,TAMIL NADU,SIVAGANGA,21,Raja A,IND,0,Graduate,47,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7484
2014,TAMIL NADU,SIVAGANGA,22,Rajasekar.s @ S.r.thevar,Desiya Forward Bloc,5,8th Pass,58,"Rs 1,60,12,209 ~ 1 Crore+","Rs 14,37,300 ~ 14 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4335
2014,TAMIL NADU,SIVAGANGA,23,S Periyakaruppan,IND,0,10th Pass,43,"Rs 41,90,000 ~ 41 Lacs+","Rs 15,66,338 ~ 15 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4054
2014,TAMIL NADU,SIVAGANGA,24,Selvaraj A,IND,0,8th Pass,58,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7477
2014,TAMIL NADU,SIVAGANGA,25,Thamilarima S,AAP,0,Graduate,60,"Rs 4,14,12,999 ~ 4 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7471
2014,TAMIL NADU,SIVAGANGA,26,V Rakkamuthu,BSP,0,Illiterate,61,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4056
2014,TAMIL NADU,SIVAGANGA,27,Velladhurai A,Ezhuchi Tamilargal Munnetra Kazhagam,0,8th Pass,46,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7473
