Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,TAMIL NADU,VILUPPURAM,18,S. Rajendran,AIADMK,0,Graduate,57,Not Available,Not Available,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=3930
2014,TAMIL NADU,VILUPPURAM,1,A.ramesh,IND,0,10th Pass,34,"Rs 3,50,000 ~ 3 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5470
2014,TAMIL NADU,VILUPPURAM,2,D.elumalai,IND,0,Graduate,28,"Rs 40,000 ~ 40 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5474
2014,TAMIL NADU,VILUPPURAM,3,G. Anandhan,CPI(M),1,10th Pass,53,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4036
2014,TAMIL NADU,VILUPPURAM,4,K. Arasan,IND,0,Illiterate,63,"Rs 6,30,000 ~ 6 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4034
2014,TAMIL NADU,VILUPPURAM,5,K. Muthayian,DMK,0,Post Graduate,54,"Rs 7,42,51,826 ~ 7 Crore+","Rs 2,24,32,121 ~ 2 Crore+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4035
2014,TAMIL NADU,VILUPPURAM,6,K.desingu,IND,0,8th Pass,45,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5473
2014,TAMIL NADU,VILUPPURAM,7,K.kaliyamurthy,BSP,1,10th Pass,48,"Rs 11,50,000 ~ 11 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=4283
2014,TAMIL NADU,VILUPPURAM,8,K.rajamanickam,IND,0,12th Pass,41,"Rs 2,12,500 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5464
2014,TAMIL NADU,VILUPPURAM,9,K.rani,INC,0,Post Graduate,55,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5475
2014,TAMIL NADU,VILUPPURAM,10,K.srinivasan,IND,0,Literate,60,"Rs 2,53,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5471
2014,TAMIL NADU,VILUPPURAM,11,K.umasankar,DMDK,0,Post Graduate,39,"Rs 1,12,51,249 ~ 1 Crore+","Rs 12,91,251 ~ 12 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5467
2014,TAMIL NADU,VILUPPURAM,12,M. Venkatesan,CPI(ML)L,0,Graduate,43,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=3830
2014,TAMIL NADU,VILUPPURAM,13,M.kathirvel,IND,0,5th Pass,44,"Rs 15,01,500 ~ 15 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5477
2014,TAMIL NADU,VILUPPURAM,14,M.umashankar,IND,0,Literate,41,"Rs 30,000 ~ 30 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5476
2014,TAMIL NADU,VILUPPURAM,15,N.muthaiyan,IND,0,8th Pass,38,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5466
2014,TAMIL NADU,VILUPPURAM,16,P.muthaiyan,IND,0,Illiterate,60,"Rs 1,42,500 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5463
2014,TAMIL NADU,VILUPPURAM,17,R.arumugam,IND,0,Graduate,44,"Rs 3,50,000 ~ 3 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5472
2014,TAMIL NADU,VILUPPURAM,19,S.devi,IND,8,10th Pass,38,"Rs 55,75,000 ~ 55 Lacs+","Rs 12,00,000 ~ 12 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5465
2014,TAMIL NADU,VILUPPURAM,20,Venkatesan S,IND,0,Graduate,42,"Rs 2,10,391 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=7416
