Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,TELANGANA,HYDERABAD,1,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimeen,4,Graduate Professional,43,"Rs 4,06,11,099 ~ 4 Crore+","Rs 1,40,00,000 ~ 1 Crore+",Yes
2014,TELANGANA,HYDERABAD,2,Binghi Rajashekar,Pyramid Party of India,0,10th Pass,38,"Rs 4,90,000 ~ 4 Lacs+","Rs 2,00,000 ~ 2 Lacs+",No
2014,TELANGANA,HYDERABAD,3,Boddu Sainath Reddy,Yuvajana Sramika Rythu Congress Party,0,10th Pass,36,Not Available,Not Available,No
2014,TELANGANA,HYDERABAD,4,Dr.bhagavanth Rao,BJP,0,Graduate Professional,61,"Rs 42,74,998 ~ 42 Lacs+",Rs 0 ~,No
2014,TELANGANA,HYDERABAD,5,Jaya Vindhyala,Socialist Party (India),0,Post Graduate,49,"Rs 18,50,000 ~ 18 Lacs+","Rs 5,00,000 ~ 5 Lacs+",No
2014,TELANGANA,HYDERABAD,6,Lubna Sarwath,AAP,0,Doctorate,49,Not Available,Not Available,No
2014,TELANGANA,HYDERABAD,7,M A Habeeb,IND,1,10th Pass,37,"Rs 1,41,000 ~ 1 Lacs+",Rs 0 ~,No
2014,TELANGANA,HYDERABAD,8,Md Osman,IND,2,5th Pass,52,"Rs 9,77,524 ~ 9 Lacs+",Rs 0 ~,No
2014,TELANGANA,HYDERABAD,9,N.mahender Singh,Nava Bharat National Party,1,12th Pass,49,Not Available,Not Available,No
2014,TELANGANA,HYDERABAD,10,Rashid Shareef,TRS,0,8th Pass,53,"Rs 99,01,000 ~ 99 Lacs+",Rs 0 ~,No
2014,TELANGANA,HYDERABAD,11,S Krishna Reddy,INC,0,Graduate,51,"Rs 2,53,97,000 ~ 2 Crore+","Rs 3,69,391 ~ 3 Lacs+",No
2014,TELANGANA,HYDERABAD,12,S.khaja Moinuddin,All India Azad Congress Party,0,Graduate,45,Not Available,Not Available,No
2014,TELANGANA,HYDERABAD,13,Shaik Moin,IND,0,Literate,46,"Rs 40,000 ~ 40 Thou+",Rs 0 ~,No
2014,TELANGANA,HYDERABAD,14,Syed Abdul Gaffer,IND,0,12th Pass,56,"Rs 1,09,250 ~ 1 Lacs+",Rs 0 ~,No
2014,TELANGANA,HYDERABAD,15,Syed Mustafa Mahmood,Majlis Bachao Tahreek,0,12th Pass,45,Not Available,Not Available,No
2014,TELANGANA,HYDERABAD,16,Venu Gopal.p,BSP,0,Post Graduate,30,"Rs 50,000 ~ 50 Thou+",Rs 0 ~,No
