Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,TRIPURA,TRIPURA_WEST,11,Sankar Prasad Datta,CPI(M),1,Post Graduate,56,"Rs 13,20,900 ~ 13 Lacs+",Rs 0 ~,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=45
2014,TRIPURA,TRIPURA_WEST,1,Arun Kumar Bhowmik,SUCI(C),0,Graduate,59,"Rs 24,43,828 ~ 24 Lacs+","Rs 1,45,939 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=165
2014,TRIPURA,TRIPURA_WEST,2,Arunoday Saha,INC,0,Doctorate,65,"Rs 3,38,92,463 ~ 3 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=244
2014,TRIPURA,TRIPURA_WEST,3,Binay Debbarma,Indigenous Peoples Front of Tripura,1,Graduate Professional,55,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=161
2014,TRIPURA,TRIPURA_WEST,4,Joganati Datta,IND,0,8th Pass,43,"Rs 1,65,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=245
2014,TRIPURA,TRIPURA_WEST,5,Kamal Kanti Debnath,IND,0,10th Pass,63,"Rs 25,69,416 ~ 25 Lacs+","Rs 4,14,150 ~ 4 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=162
2014,TRIPURA,TRIPURA_WEST,6,Partha Karmakar,CPI(ML)L,0,Graduate,46,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=524
2014,TRIPURA,TRIPURA_WEST,7,Pjech Debbarma,Jai Maha Bharath Party,0,10th Pass,38,"Rs 1,50,85,500 ~ 1 Crore+","Rs 10,373 ~ 10 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=728
2014,TRIPURA,TRIPURA_WEST,8,Rakhal Raj Datta,Amra Bangalee,0,Post Graduate,65,"Rs 65,49,960 ~ 65 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=166
2014,TRIPURA,TRIPURA_WEST,9,Ratan Chakraborti,AITC,0,Graduate,63,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=167
2014,TRIPURA,TRIPURA_WEST,10,Salil Saha,AAP,0,Post Graduate,54,"Rs 4,11,53,192 ~ 4 Crore+","Rs 19,73,987 ~ 19 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=525
2014,TRIPURA,TRIPURA_WEST,12,Subal Bhowmik,Tripura Pragatishil Gramin Congress,1,Graduate Professional,53,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=163
2014,TRIPURA,TRIPURA_WEST,13,Sudhindra Chandra Dasgupta,BJP,0,Graduate,74,"Rs 23,85,517 ~ 23 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=164
