Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,UTTAR PRADESH,BAHRAICH,8,Savitri Bai Foole,BJP,8,Graduate,33,"Rs 11,21,491 ~ 11 Lacs+","Rs 5,38,145 ~ 5 Lacs+",Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=8043
2014,UTTAR PRADESH,BAHRAICH,1,Comando Kamal Kishor,INC,1,Graduate,62,"Rs 1,08,62,277 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8040
2014,UTTAR PRADESH,BAHRAICH,2,Dr.vijay Kumar,BSP,0,Graduate Professional,41,"Rs 81,60,460 ~ 81 Lacs+","Rs 20,00,000 ~ 20 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8044
2014,UTTAR PRADESH,BAHRAICH,3,Hira Lal Rao,Ambedkar National Congress,0,Graduate Professional,63,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8314
2014,UTTAR PRADESH,BAHRAICH,4,Jagat Ram,AAP,1,10th Pass,40,"Rs 5,02,257 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8669
2014,UTTAR PRADESH,BAHRAICH,5,Madhav,Lok Dal,0,5th Pass,35,"Rs 58,251 ~ 58 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8668
2014,UTTAR PRADESH,BAHRAICH,6,Ram Naresh,IND,0,8th Pass,30,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8315
2014,UTTAR PRADESH,BAHRAICH,7,Ramashanker Gond,Jai Hind Samaj Party,0,12th Pass,31,"Rs 19,45,000 ~ 19 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8670
2014,UTTAR PRADESH,BAHRAICH,9,Shabbir Ahmad,SP,1,12th Pass,55,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8041
2014,UTTAR PRADESH,BAHRAICH,10,Vinod Kumar,Bahujan Mukti Party,0,Post Graduate,31,"Rs 98,000 ~ 98 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=8671
