Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,UTTAR PRADESH,BANDA,3,Bhairon Prasad Mishra,BJP,2,12th Pass,60,Not Available,Not Available,Yes
2014,UTTAR PRADESH,BANDA,1,Amar Singh Rathaur,AAP,0,Graduate Professional,56,"Rs 71,80,000 ~ 71 Lacs+","Rs 6,20,000 ~ 6 Lacs+",No
2014,UTTAR PRADESH,BANDA,2,Bal Kumar Patel Alias Rajkumar,SP,9,12th Pass,54,"Rs 4,10,04,212 ~ 4 Crore+","Rs 1,34,32,893 ~ 1 Crore+",No
2014,UTTAR PRADESH,BANDA,4,Mo. Sageer,Peace Party,0,10th Pass,46,"Rs 35,94,500 ~ 35 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,BANDA,5,Narendra Kumar Shrivastava,IND,0,10th Pass,64,"Rs 38,03,936 ~ 38 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,BANDA,6,Pappu Yadav,JD(U),0,12th Pass,31,Not Available,Not Available,No
2014,UTTAR PRADESH,BANDA,7,Prabhakar Prasad,Bharatiya Kisan Sena Loktantrik,0,Graduate,29,"Rs 3,51,027 ~ 3 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,BANDA,8,R. K. Singh Patel,BSP,2,Graduate,54,"Rs 3,77,92,491 ~ 3 Crore+","Rs 17,33,008 ~ 17 Lacs+",No
2014,UTTAR PRADESH,BANDA,9,Ramchandra Saras,CPI,0,Graduate,52,Not Available,Not Available,No
2014,UTTAR PRADESH,BANDA,10,Shushila Singh,Bhartiya Shakti Chetna Party,0,5th Pass,44,"Rs 19,21,772 ~ 19 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,BANDA,11,Vijay Prakash,IND,0,8th Pass,57,"Rs 1,70,000 ~ 1 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,BANDA,12,Vishvambhar Nath,Bahujan Mukti Party,0,Post Graduate,60,Not Available,Not Available,No
2014,UTTAR PRADESH,BANDA,13,Vivek Kumar Singh,INC,5,Graduate Professional,58,"Rs 8,36,49,102 ~ 8 Crore+",Rs 0 ~,No
