Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,UTTAR PRADESH,BARABANKI,12,Priyanka Singh Rawat,BJP,0,Post Graduate,28,Not Available,Not Available,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=5494
2014,UTTAR PRADESH,BARABANKI,1,Abhilakh Rawat,IND,0,10th Pass,31,"Rs 4,27,900 ~ 4 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6644
2014,UTTAR PRADESH,BARABANKI,2,Babulal,Manavtawadi Samaj Party,0,Literate,59,"Rs 71,16,000 ~ 71 Lacs+","Rs 1,80,500 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6643
2014,UTTAR PRADESH,BARABANKI,3,Dinesh Chandra,AAP,1,Post Graduate,38,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5493
2014,UTTAR PRADESH,BARABANKI,4,Kamala Prasad Rawat,BSP,0,Graduate,52,"Rs 8,07,24,161 ~ 8 Crore+","Rs 71,29,071 ~ 71 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5491
2014,UTTAR PRADESH,BARABANKI,5,Khanjan Lal,IND,0,Post Graduate,70,"Rs 3,25,60,591 ~ 3 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5498
2014,UTTAR PRADESH,BARABANKI,6,Kishan Lal,SHS,0,5th Pass,38,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5488
2014,UTTAR PRADESH,BARABANKI,7,Mahesh,IND,0,Post Graduate,42,"Rs 44,30,000 ~ 44 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5492
2014,UTTAR PRADESH,BARABANKI,8,Medi Lal,Bahujan Mukti Party,0,12th Pass,50,"Rs 1,61,000 ~ 1 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6642
2014,UTTAR PRADESH,BARABANKI,9,Nitin Singh,Naitik Party,0,Graduate,25,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6645
2014,UTTAR PRADESH,BARABANKI,10,P L Punia,INC,0,Doctorate,69,"Rs 2,00,81,069 ~ 2 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=6648
2014,UTTAR PRADESH,BARABANKI,11,P.c Kuril,Indian National League,0,12th Pass,56,"Rs 3,05,09,500 ~ 3 Crore+","Rs 36,000 ~ 36 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5490
2014,UTTAR PRADESH,BARABANKI,13,Rajesh Kumar Vidyarthi,Peace Party,0,Post Graduate,43,"Rs 98,93,000 ~ 98 Lacs+","Rs 17,60,000 ~ 17 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5487
2014,UTTAR PRADESH,BARABANKI,14,Rajrani Rawat,SP,0,12th Pass,49,"Rs 3,34,93,596 ~ 3 Crore+","Rs 9,33,806 ~ 9 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=5495
