Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,CandidateURL
2014,UTTAR PRADESH,DEORIA,6,Kalraj Mishra,BJP,0,Post Graduate,73,Not Available,Not Available,Yes,https://www.myneta.info/ls2014/candidate.php?candidate_id=9684
2014,UTTAR PRADESH,DEORIA,1,Arun Kumar Tripathi,AAP,0,Graduate Professional,55,"Rs 2,62,82,936 ~ 2 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=9228
2014,UTTAR PRADESH,DEORIA,2,Awadh Kishor Nigam,Adarsh Rashtriya Vikas Party,0,Graduate,33,"Rs 85,000 ~ 85 Thou+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=9552
2014,UTTAR PRADESH,DEORIA,3,Barkha Kinnar,IND,0,Literate,38,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=9549
2014,UTTAR PRADESH,DEORIA,4,Hemant Kishor Srivastava,IND,0,Post Graduate,34,"Rs 2,69,500 ~ 2 Lacs+","Rs 20,284 ~ 20 Thou+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=9551
2014,UTTAR PRADESH,DEORIA,5,Intzarul,Bahujan Mukti Party,0,8th Pass,36,"Rs 6,15,000 ~ 6 Lacs+","Rs 1,70,000 ~ 1 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=9568
2014,UTTAR PRADESH,DEORIA,7,Niyaj Ahmad,BSP,0,12th Pass,51,"Rs 3,63,06,005 ~ 3 Crore+","Rs 18,33,575 ~ 18 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=9232
2014,UTTAR PRADESH,DEORIA,8,Raju,Moderate Party,1,Literate,32,"Rs 2,16,000 ~ 2 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=9555
2014,UTTAR PRADESH,DEORIA,9,Ram Pravesh,Bharatiya Ekta Dal,0,12th Pass,31,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=9557
2014,UTTAR PRADESH,DEORIA,10,Ram Preet,Most Backward Classes Of India,0,Literate,48,"Rs 5,97,639 ~ 5 Lacs+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=9563
2014,UTTAR PRADESH,DEORIA,11,Sabha Kunwar,INC,0,Post Graduate,60,"Rs 48,97,276 ~ 48 Lacs+","Rs 5,44,512 ~ 5 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=9233
2014,UTTAR PRADESH,DEORIA,12,Shyam Sundar,Peace Party,0,10th Pass,39,Not Available,Not Available,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=9556
2014,UTTAR PRADESH,DEORIA,13,Umesh,Suheldev Bhartiya Samaj Party,0,8th Pass,46,"Rs 1,44,42,000 ~ 1 Crore+",Rs 0 ~,No,https://www.myneta.info/ls2014/candidate.php?candidate_id=9554
2014,UTTAR PRADESH,DEORIA,14,Ved Prakash Mall,JD(U),0,Not Given,41,"Rs 84,27,012 ~ 84 Lacs+","Rs 11,30,000 ~ 11 Lacs+",No,https://www.myneta.info/ls2014/candidate.php?candidate_id=9229
