Year,State,Constituency,SerialNo,CandidateName,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner
2014,UTTAR PRADESH,DOMARIYAGANJ,7,Jagdambika Pal,BJP,0,Post Graduate,64,"Rs 1,78,22,082 ~ 1 Crore+","Rs 49,81,555 ~ 49 Lacs+",Yes
2014,UTTAR PRADESH,DOMARIYAGANJ,1,Arjun Singh,Bahujan Mukti Party,0,Post Graduate,45,"Rs 9,33,920 ~ 9 Lacs+","Rs 8,525 ~ 8 Thou+",No
2014,UTTAR PRADESH,DOMARIYAGANJ,2,Badre Alam,AAP,0,Graduate Professional,65,"Rs 21,27,951 ~ 21 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,DOMARIYAGANJ,3,Diwakar Prasad,IND,0,Graduate,63,Not Available,Not Available,No
2014,UTTAR PRADESH,DOMARIYAGANJ,4,Dr. Mohd. Ayub,Peace Party,9,Post Graduate,58,"Rs 31,48,20,842 ~ 31 Crore+","Rs 1,10,59,140 ~ 1 Crore+",No
2014,UTTAR PRADESH,DOMARIYAGANJ,5,Dr. Satyendra Nath Pandey,Aam Janata Party,0,Doctorate,65,"Rs 2,04,77,137 ~ 2 Crore+",Rs 0 ~,No
2014,UTTAR PRADESH,DOMARIYAGANJ,6,Hamidullah Chaudhary,NCP,0,Post Graduate,50,Not Available,Not Available,No
2014,UTTAR PRADESH,DOMARIYAGANJ,8,Kali Ram,IND,0,Graduate,58,"Rs 22,20,746 ~ 22 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,DOMARIYAGANJ,9,Manoj Kumar,Suheldev Bhartiya Samaj Party,1,Graduate,33,Not Available,Not Available,No
2014,UTTAR PRADESH,DOMARIYAGANJ,10,Mata Prasad Pandey,SP,0,Post Graduate,77,"Rs 1,62,27,392 ~ 1 Crore+",Rs 0 ~,No
2014,UTTAR PRADESH,DOMARIYAGANJ,11,Muhammad Muqeem,BSP,0,Literate,66,"Rs 7,40,56,948 ~ 7 Crore+","Rs 33,000 ~ 33 Thou+",No
2014,UTTAR PRADESH,DOMARIYAGANJ,12,Mukesh Narayan Shukla Urf Gyanesh Narayan Shukla,IND,0,Graduate,34,Not Available,Not Available,No
2014,UTTAR PRADESH,DOMARIYAGANJ,13,Pingle Prasad,Swaraj (J),0,12th Pass,46,"Rs 20,500 ~ 20 Thou+",Rs 0 ~,No
2014,UTTAR PRADESH,DOMARIYAGANJ,14,Ram Ugrah,IND,0,8th Pass,33,"Rs 16,55,000 ~ 16 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,DOMARIYAGANJ,15,Ravi Kumar,Samyak Parivartan Party,0,Graduate,25,Not Available,Not Available,No
2014,UTTAR PRADESH,DOMARIYAGANJ,16,Santram,Bharatiya Rashtriya Bahujan Samaj Vikas Party,0,Literate,55,"Rs 1,30,000 ~ 1 Lacs+",Rs 0 ~,No
2014,UTTAR PRADESH,DOMARIYAGANJ,17,Vasundhara,INC,0,Graduate,57,"Rs 4,90,22,328 ~ 4 Crore+","Rs 11,89,759 ~ 11 Lacs+",No
